year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Quinetia,Quinetia.urvillei,Quinetia_urvillei,2,-0.678258568,8.915388328,3.391479668
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Cyperaceae,Schoenus,Schoenus.nanus,Schoenus_nanus,2,-2.504848424,8.691827115,3.715453283
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asparagaceae,Thysanotus,Thysanotus.rectantherus,Thysanotus_rectantherus,1,-0.950087609,11.00819963,3.510773357
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,9,0.886367463,11.19141061,3.444546993
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Araliaceae,Trachymene,Trachymene.pilosa,Trachymene_pilosa,2,-0.640777093,13.76887938,3.555840386
2011,ben,1,11,2011.ben.1,2011.ben.1.11,NA,NA,unk.sp1,unk_sp1,3,-0.620826519,11.78911903,NA
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,7,-2.509359171,17.62090321,3.123704477
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Poaceae,Aira,Aira.cupaniana,Aira_cupaniana,1,-3.811800683,12.40940942,3.715800639
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,2,0.442105577,14.2294459,2.886838198
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,3,-2.599345287,8.949556668,3.368078351
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Xanthorrhoeaceae,Bulbine,Bulbine.semibarbata,Bulbine_semibarbata,1,-0.42630237,9.630264552,3.65212143
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,7,-1.21116641,12.50966291,3.411716301
2011,ben,1,12,2011.ben.1,2011.ben.1.12,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,11,-0.993117782,13.31319964,3.22396686
