Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N,nitrogen_fixing,life_history
STETRI,Stenanthemum tridentatum,native,RHAMNACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,shrub,0.82,Approximation: avg seed mass of Spyidium species species (n = 18).,ECM,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
STICOM,Stipa compressa,native,POACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,grass,3.91,McAlinden 1998,AMF,Lamont 1982 for Family,NA,NA,0,annual
STILAT,Stirlingia latifolia,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,13.9,McAlinden 1998,Root clusters,Skene 1998; Brundrett&Abbott 1991,NA,NA,0,perennial
STRCYL,Streptoglossa cylindriceps,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,1.06,Approximation: avg seed mass of Streptoglossa species (n= 3).,AMF,Lamont 1982 for Family,NA,NA,0,annual
STUMUE,Stuartina muelleri,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,NA,NA,AMF,Lamont 1982 for Family,NA,NA,0,annual
STYAFF,Stylidium affine,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYAMO,Stylidium amoenum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.05,Weighed,AMF,Brundrett 2008 for Genus,0.04,0.92,0,perennial
STYBRU,Stylidium brunonianum,native,STYLIDIACEAE,SEEDER,Burrows et al. 2008,soil,Vlahos & Bell 1986,forb,0.09,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
STYBUL,Stylidium bulbiferum,native,STYLIDIACEAE,SEEDER,Roche 1997,soil,Bell et al. 1993,forb,0.13,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYCAL,Stylidium calcaratum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.02,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,annual
STYCIL,Stylidium ciliatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.07,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYDIU,Stylidium diuroides,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYHIS,Stylidium hispidum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.4,Nursery records,AMF,Brundrett 2008 for Genus,0.07,1.33,0,perennial
STYJUN,Stylidium junceum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.1,Nursery records,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
STYLAT,Stylidium lateriticola,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYLIN,Stylidium lineatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.08,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYOBT,Stylidium obtusatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYPIL,Stylidium piliferum,native,STYLIDIACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,0.11,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
STYREP,Stylidium repens,native,STYLIDIACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYSCH,Stylidium schoenoides,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STYTEN,Styphelia tenuiflora,native,ERICACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,50,Roche 1997,Ericoid,Cornelissen et al. 2003 for Family,0.04,1.1,0,perennial
SYMSQU,Symphyotrichum squamatum,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,NA,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
TAROFF,Taraxacum officinale,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
TAXLIN,Taxandria linearifolia,native,MYRTACEAE,SEEDER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.14,Weighed,AMF/ECM,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
TETCAP,Tetraria capillaris,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,sedge,5.88,Approximation: avg seed mass of Tetraria species (n = 2).,Root clusters,Lamont 1982 for Family,0.03,0.7,0,perennial
TETHIR,Tetratheca hirsuta,native,ELAEOCARPACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7,Roche 1997,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
TETLAE,Tetrarrhena laevis,native,POACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,grass,6.64,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
TETOCT,Tetraria octandra,native,CYPERACEAE,RESPROUTER,Roche 1997,soil,Inferred using data for Family,sedge,9.64,McAlinden 1998,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
THECRI,Thelymitra crinita,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
THEMAC,Thelymitra macrophylla,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
THOGLU,Thomasia glutinosa,native,MALVACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,0.81,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
THOPAN,Thomasia paniculata,native,MALVACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,1.5,Approximation: avg seed mass of Thomasia species (n = 8).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THOPAU,Thomasia pauciflora,native,MALVACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.5,Approximation: avg seed mass of Thomasia species (n = 8).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYANC,Thysanotus anceps,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,2.09,Approximation: avg seed mass of Thysanotus species (n = 12),SubepidermalMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYASP,Thysanotus asper,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,forb,2.09,Approximation: avg seed mass of Thysanotus species (n = 12),SubepidermalMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYDIC,Thysanotus dichotomus,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,2.79,Weighed,SubepidermalMF,Brundrett&Abbott 1991,NA,NA,0,perennial
THYFAS,Thysanotus fastigiatus,native,ASPARAGACEAE,RESPROUTER,Smith et al. 2000,soil,Smith et al. 2000,forb,1.78,Weighed,SubepidermalMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYMAN,Thysanotus manglesianus,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,0.99,McAlinden 1998,SubepidermalMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYMUL,Thysanotus multiflorus,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,4,Roche 1997,SubepidermalMF,Brundrett&Abbott 1991,NA,NA,0,perennial
THYPAT,Thysanotus patersonii,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,NA,Kew SID,SubepidermalMF,McGee 1988,NA,NA,0,perennial
THYSPA,Thysanotus sparteus,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,forb,4.59,McAlinden 1998,SubepidermalMF,Brundrett 2008 for Genus,NA,NA,0,perennial
THYTHY,Thysanotus thyrsoideus,native,ASPARAGACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,0.72,Weighed,SubepidermalMF,Brundrett 2008 for Genus,0.16,NA,0,perennial
TRAPIL,Trachymene pilosa,native,ARALIACEAE,SEEDER,Smith et al. 2000,soil,Vlahos & Bell 1986,forb,NA,Kew SID,AMF,Brundrett&Abbott 1991,NA,NA,0,annual
TRIANG,Trifolium angustifolium,weed,FABACEAE,SEEDER,Alcoa DB,soil,Grant & Koch 1997,forb,1.51,Approximation: avg seed mass of Trifolium species (n= 105).,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIARV,Trifolium arvense,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,1.51,Approximation: avg seed mass of Trifolium species (n= 105).,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIBRU,Tripterococcus brunonis,native,CELASTRACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,forb,1,Roche 1997,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
TRICAM,Trifolium campestre,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIDUB,Trifolium dubium,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIELA,Tricoryne elatior,native,HEMEROCALLIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,5.46,McAlinden 1998,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
TRIFRA,Trifolium fragiferum,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,perennial
TRIGLO,Trifolium glomeratum,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIHIR,Trifolium hirtum,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRIHUM,Tricoryne humilis,native,HEMEROCALLIDACEAE,RESPROUTER,Norman et al. 2006,soil,Inferred using data for Genus,forb,5.88,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
TRIPRA,Trifolium pratense,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,perennial
TRIREP,Trifolium repens,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
TRISPA,Trichocline spathulata,native,ASTERACEAE,RESPROUTER,Norman et al. 2006,soil,Infered using data for Family,forb,3.47,Nursery records,AMF,Lamont 1982 for Family,0.14,2.4,0,perennial
TRYFLO,Trymalium floribundum,native,RHAMNACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,ECM,Brundrett&Abbott 1991; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
TRYLED,Trymalium ledifolium,native,RHAMNACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.44,Grant 1993,ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,0.06,1.6,0,perennial
TYPDOM,Typha domingensis,native,TYPHACEAE,RESPROUTER,Alcoa DB,soil,Default,forb,NA,Kew SID,None,NM:Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
TYPORI,Typha orientalis,weed,TYPHACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM:Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
URSANT,Ursinia anthemoides,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,1.43,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
VELDEA,Vellereophyton dealbatum,weed,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
VELTRI,Velleia trinervis,native,GOODENIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,NA,Kew SID,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
VERARV,Veronica arvensis,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2008 for Family,NA,NA,0,annual
VERPER,Veronica persica,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2008 for Family,NA,NA,0,annual
VERVIR,Verbascum virgatum,weed,SCROPHULARIACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
VIMJUN,Viminaria juncea,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,Root clusters/AMF,Brundrett&Abbott 1991,0.05,1.5,1,perennial
VULBRO,Vulpia bromoides,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
VULMYU,Vulpia myuros,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
WAHCAP,Wahlenbergia capensis,weed,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
WAHPRE,Wahlenbergia preissii,native,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,forb,0.03,Approximation: avg seed mass of Wahlenbergia species (n = 31).,AMF,Brundrett 2008 for Family,NA,NA,0,annual
WAIACU,Waitzia acuminata,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,0.36,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,annual
XANATK,Xanthosia atkinsoniana,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.59,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
XANCAN,Xanthosia candida,native,APIACEAE,SEEDER,Smith et al. 2000,soil,Bell et al. 1993,forb,0.54,Weighed,AMF,Brundrett&Abbott 1991,0.05,1.21,0,perennial
XANCIL,Xanthosia ciliata,native,APIACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,shrub,1.28,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
XANGRA,Xanthorrhoea gracilis,native,XANTHORRHOEACE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14,"Standish et al, unpub data",AMF,Brundrett&Abbott 1991,0.03,0.53,0,perennial
XANHUE,Xanthosia huegelii,native,APIACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,forb,0.7,Roche 1997,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
XANPRE,Xanthorrhoea preissii,native,XANTHORRHOEACE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18.52,Nursery records,AMF,Brundrett&Abbott 1991,0.04,0.73,0,perennial
XYLOCC,Xylomelum occidentale,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,363,Weighed,Root clusters,Skene 1998; Brundrett&Abbott 1991,NA,NA,0,perennial
