Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
LOMPUR,Lomandra purpurea,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,13.96,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMSER,Lomandra sericea,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,19.62,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMSON,Lomandra sonderi,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,32.31,Weighed,None,NM: Brundrett 2008 for Genus,0.05,0.89
LOMSPA,Lomandra spartea,native,ASPARAGACEAE,RESPROUTER,Roche 1997,soil,Infered using data for Genus,perennial forb,8.17,Weighed,None,NM: Brundrett 2008 for Genus,0.03,0.7
LOTULI,Lotus uliginosus*,weed,FABACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,perennial forb,1.00,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,3.73
LOXCIN,Loxocarya cinerea,native,RESTIONACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial rush,7.11,Approximation: avg seed mass of Loxocarya species (n = 2).,Root clusters,Lamont 1982 for Family,0.03,0.65
LUZMER,Luzula meridionalis,native,JUNCACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial rush,0.53,Kew SID,Root clusters,Brundrett 2009 for Family,,
LYTHYS,Lythrum hyssopifolia*,weed,LYTHRACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.50,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
MACRIE,Macrozamia riedlei,native,ZAMIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,90.91,Nursery records,Nfixer/AMF,Brundrett&Abbott 1991,0.05,0.93
MARBIC,Marianthus bicolor,native,PITTOSPORACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Family,shrub,5.40,Kew SID,AMF,Brundrett&Abbott 1991,,
MARCOE,Marianthus coeruleopunctatus,native,PITTOSPORACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,shrub,1.44,Weighed,AMF,Brundrett 2008 for Family,,
