Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Syzygium mackinnonianum,tree,0,1,simple,no,evergreen,NA,559,653,30,50,95,27,50,20,30,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium resa,tree,1,1,simple,no,evergreen,NA,559,653,40,35,110,14,52,9,13,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium smithii,tree,1,0,simple,no,evergreen,530,559,653,20,25,167,7,70,5,12,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium claviflorum,tree,1,1,simple,no,evergreen,690,690,653,25,50,150,25,58,3,3,3,3,NA,Duplicate of Metcalfe_2009_005,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium pringlei,tree,1,0,simple,no,evergreen,NA,690,653,10,55,110,18,38,2,9,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allosyncarpia ternata,tree,1,0,simple,no,evergreen,NA,NA,NA,35,75,135,14,32,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_014,NA
Archirhodomyrtus beckleri,tree,1,0,simple,no,evergreen,NA,NA,653,10,30,110,10,33,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteromyrtus angustifolia,tree,1,0,simple,no,evergreen,NA,NA,653,10,12,65,3,7,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asteromyrtus brassii,tree,1,0,simple,no,evergreen,NA,NA,653,25,40,100,5,15,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austromyrtus dulcis,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.5,10,30,3,11,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia angustifolia,tree,1,0,simple,no,evergreen,NA,775,653,15,15,50,3,10,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia bancroftii,tree,1,0,simple,no,evergreen,800,775,653,33,40,165,15,60,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia Belgamba,tree,1,0,simple,no,evergreen,NA,NA,NA,12,23,60,15,45,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia citriodora,tree,1,0,simple,no,evergreen,NA,NA,NA,25,35,150,10,50,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia hughesii,tree,1,0,simple,no,evergreen,NA,775,653,35,35,100,15,45,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia oligantha,tree,1,0,simple,no,evergreen,NA,NA,NA,12,10,30,6,12,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia sciadophora,tree,1,0,simple,no,evergreen,688,NA,NA,30,50,100,20,45,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Backhousia enata,tree,1,1,simple,no,evergreen,NA,NA,NA,12,15,38,10,20,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baeckea gunniana,shrub,1,0,simple,no,evergreen,NA,NA,NA,1,2,4,1,1,0.5,1,0.5,1,NA,NA,NA,NA,Duplicate of Jordan_2001_0842,NA,NA,NA,NA,NA,NA
Barongia lophandra,tree,1,0,simple,no,evergreen,NA,NA,653,36,100,240,40,90,7,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca recurvus,tree,1,0,simple,no,evergreen,NA,640,653,7,16,35,4,6,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca salignus,tree,1,0,simple,no,evergreen,NA,NA,NA,15,60,90,5,14,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca viminalis,tree,1,0,simple,no,evergreen,640,640,653,15,30,100,3,15,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choricarpia leptopetala,tree,1,0,simple,no,evergreen,NA,NA,NA,20,50,130,15,55,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choricarpia subargentea,tree,1,0,simple,no,evergreen,NA,NA,NA,30,50,110,20,40,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia intermedia,tree,1,0,simple,no,evergreen,770,768,653,30,80,150,15,30,6,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_068,Duplicate of CPBR_2002_068
Corymbia tessellaris,tree,1,0,simple,no,evergreen,NA,768,653,20,65,200,7,30,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corymbia torelliana,tree,1,0,simple,no,evergreen,720,768,653,30,80,150,14,42,2,3,1,2,NA,Duplicate of CPBR_2002_104,NA,NA,NA,NA,Duplicate of CPBR_2002_104,NA,NA,NA,NA
Decaspermum humile,tree,1,0,simple,no,evergreen,650,650,653,30,20,80,8,40,3,5,2,3,NA,Duplicate of Metcalfe_2009_088,NA,NA,NA,NA,NA,NA,NA,NA,NA
Decaspermum struckoilicum,tree,1,0,simple,no,evergreen,NA,NA,NA,10,15,50,10,30,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eucalyptus acmenoides,tree,1,0,simple,no,evergreen,868.6,NA,NA,45,80,120,15,25,1,1,1,1,NA,Duplicate of CPBR_2002_117,NA,NA,NA,Duplicate of CPBR_2002_117,Duplicate of CPBR_2002_117,NA,NA,NA,NA
Eucalyptus campanulata,tree,1,0,simple,no,evergreen,825.6,NA,NA,45,90,180,10,25,1,1,1,1,NA,Duplicate of CPBR_2002_135,NA,NA,NA,Duplicate of CPBR_2002_135,Duplicate of CPBR_2002_135,NA,NA,Duplicate of CPBR_2002_135,NA
Eucalyptus crebra,tree,1,0,simple,no,evergreen,830,743,743,35,50,150,7,17,1,2,1,1,NA,Duplicate of CPBR_2002_281,NA,NA,NA,NA,Duplicate of CPBR_2002_281,NA,NA,NA,NA
Eucalyptus grandis,tree,1,0,simple,no,evergreen,597,743,743,70,80,170,17,40,1,2,1,2,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_419,NA,NA,Duplicate of CPBR_2002_419,Duplicate of CPBR_2002_419,NA
Eucalyptus houseana,tree,1,0,simple,no,evergreen,NA,NA,NA,25,80,150,15,35,1,1,1,1,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_437,Duplicate of CPBR_2002_437,NA,NA,NA,NA
Eucalyptus macta,tree,1,0,simple,no,evergreen,NA,743,743,25,70,180,12,25,1,2,1,2,NA,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_729,NA,NA,Duplicate of CPBR_2002_729,Duplicate of CPBR_2002_729
Eucalyptus microcorys,tree,1,0,simple,no,evergreen,868.6,NA,NA,45,80,120,15,25,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_561,NA,NA,NA
Eucalyptus pellita,tree,1,0,simple,no,evergreen,807,743,743,30,95,160,20,40,1,2,1,2,NA,NA,Duplicate of Ilic_2000_0368,NA,NA,Duplicate of CPBR_2002_646,Duplicate of CPBR_2002_646,NA,NA,NA,NA
Eucalyptus pilularis,tree,1,0,simple,no,evergreen,799.8,NA,NA,45,90,160,15,30,1,2,1,2,NA,NA,NA,NA,NA,NA,Duplicate of CPBR_2002_666,NA,NA,NA,NA
Eucalyptus tereticornis,tree,1,0,simple,no,evergreen,780,743,743,50,80,200,10,50,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eugenia reinwardtiana,tree,1,1,simple,no,evergreen,NA,NA,653,6,17,90,6,50,7,12,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia acmenoides,tree,1,0,simple,no,evergreen,NA,NA,NA,20,25,75,10,35,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia bamagensis,tree,1,0,simple,no,evergreen,NA,680,653,30,35,120,20,60,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia bidwillii,tree,1,0,simple,no,evergreen,731,680,653,25,25,105,15,60,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia dallachiana,tree,1,0,simple,no,evergreen,NA,680,653,15,80,200,40,120,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia floribunda,tree,1,0,simple,no,evergreen,NA,680,653,15,20,75,10,40,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia fragrantissima,tree,1,0,simple,no,evergreen,NA,NA,NA,12,15,50,8,25,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia gonoclada,tree,1,0,simple,no,evergreen,NA,NA,NA,15,30,60,12,24,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia grayii,tree,1,0,simple,no,evergreen,NA,680,653,18,60,150,30,80,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia hillii,tree,1,0,simple,no,evergreen,NA,680,653,20,20,60,12,35,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia inophloia,tree,1,0,simple,no,evergreen,NA,NA,NA,12,5,50,4,35,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia lewisensis,tree,1,0,simple,no,evergreen,NA,680,653,30,28,70,15,30,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia lucida,tree,1,0,simple,no,evergreen,NA,680,653,12,50,100,10,70,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia macilwraithensis,tree,1,0,simple,no,evergreen,NA,680,653,15,20,58,12,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia myrsinocarpa,tree,1,0,simple,no,evergreen,NA,680,653,15,35,80,14,36,3,5,3,4,NA,Duplicate of Metcalfe_2009_135,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia pubiflora,tree,1,0,simple,no,evergreen,NA,NA,NA,6,20,55,10,30,6,12,7,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia punctata,tree,1,0,simple,no,evergreen,NA,NA,NA,12,20,55,12,35,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia retusa,tree,1,0,simple,no,evergreen,NA,680,653,7,15,50,10,35,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia sankowskiorum,tree,1,0,simple,no,evergreen,NA,680,653,10,14,60,8,30,3,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia shepherdii,tree,1,0,simple,no,evergreen,NA,680,653,20,30,100,15,55,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gossia Green-Bark,tree,1,0,simple,no,evergreen,NA,NA,NA,15,65,85,25,40,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kunzea ericoides,tree,1,0,simple,no,evergreen,NA,NA,NA,10,10,15,4,6,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenwebbia Blackall-Range,tree,1,0,simple,no,evergreen,NA,NA,NA,10,35,120,15,40,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenwebbia lasioclada,tree,1,0,simple,no,evergreen,NA,680,653,10,30,120,10,45,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenwebbia Main-Range,tree,1,0,simple,no,evergreen,NA,NA,NA,5,35,120,10,45,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum riparium,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,10,25,2,4,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum rupestre,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,5,9,2,3,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leptospermum wooroonooran,tree,1,0,simple,no,evergreen,NA,NA,653,15,12,22,2,6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lindsayomyrtus racemoides,tree,0,1,simple,no,evergreen,NA,NA,653,30,90,240,20,75,15,25,10,12,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lithomyrtus obtusa,shrub,1,0,simple,no,evergreen,NA,NA,653,2.5,15,45,3,15,4,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca argentea,tree,1,0,simple,no,evergreen,NA,610,653,25,40,140,6,22,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_224,Duplicate of NTH_2014_616,NA,Duplicate of Brock_1993_224
Melaleuca bracteata,tree,1,0,simple,no,evergreen,NA,610,653,15,10,28,1.5,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca cajuputi,tree,1,0,simple,no,evergreen,NA,NA,NA,35,25,150,7,40,1,1,1,1,NA,Duplicate of NTH_2014_617,NA,NA,NA,NA,NA,Duplicate of NTH_2014_617,NA,NA,NA
Melaleuca dealbata,tree,1,0,simple,no,evergreen,NA,610,653,25,42,130,10,30,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_618,Duplicate of Brock_1993_227
Melaleuca leucadendra,tree,1,0,simple,no,evergreen,610,610,653,40,55,230,7,37,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_619,Duplicate of NTH_2014_619,Duplicate of NTH_2014_619,NA
Melaleuca quinquenervia,tree,1,0,simple,no,evergreen,NA,NA,NA,35,30,100,7,26,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca styphellioides,tree,1,0,simple,no,evergreen,NA,NA,NA,6,5,25,4,17,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca viridiflora,tree,1,0,simple,no,evergreen,NA,610,653,20,55,220,10,60,1,1,1,1,NA,Duplicate of WAH_1998_4264,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_621,NA
Neofabricia myrtifolia,tree,1,0,simple,no,evergreen,NA,NA,653,6,25,55,7,12,5,6,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilidiostigma glabrum,tree,0,1,simple,no,evergreen,619.2,NA,NA,12,20,100,10,35,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilidiostigma MtLewis,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,50,130,22,46,8,11,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilidiostigma papuanum,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,75,160,22,70,12,22,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilidiostigma rhytispermum,tree,1,0,simple,no,evergreen,NA,NA,NA,10,20,40,6,12,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilidiostigma tetramerum,shrub,1,1,simple,no,evergreen,NA,NA,653,4,30,70,12,25,7,10,6,7,NA,Duplicate of Metcalfe_2009_201,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia acuminata,tree,1,0,simple,no,evergreen,NA,NA,NA,20,50,140,40,70,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia angustifolia,tree,1,0,simple,no,evergreen,NA,NA,NA,10,20,70,5,12,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia argentea,tree,1,0,simple,no,evergreen,718.1,NA,NA,40,40,130,25,60,3,4,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia australis,tree,1,0,simple,no,evergreen,NA,661,653,10,50,105,25,60,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_284,NA,NA,Duplicate of NTH_2014_624
Rhodamnia blairiana,tree,1,0,simple,no,evergreen,780,661,653,25,40,110,10,35,8,9,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia fordii,tree,1,0,simple,no,evergreen,NA,661,653,28,75,95,30,45,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia costata,tree,1,0,simple,no,evergreen,660,661,653,25,40,110,18,50,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia dumicola,tree,1,0,simple,no,evergreen,NA,NA,NA,12,30,60,22,45,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia glabrescens,tree,1,0,simple,no,evergreen,NA,NA,NA,5,60,105,35,55,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia sessiliflora,tree,1,0,simple,no,evergreen,760,661,653,10,50,200,25,55,3,3,1,2,NA,Duplicate of Metcalfe_2009_231,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia spongiosa,tree,1,0,simple,no,evergreen,NA,661,653,26,40,150,20,60,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia hylandii,tree,1,0,simple,no,evergreen,NA,661,653,8,45,80,15,35,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodamnia whiteana,tree,1,0,simple,no,evergreen,NA,NA,NA,20,50,95,15,30,3,5,2,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus canescens,shrub,1,0,simple,no,evergreen,NA,710,653,4,30,120,15,35,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus effusa,shrub,1,0,simple,no,evergreen,NA,710,653,6,80,190,25,90,1,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus macrocarpa,tree,1,1,simple,no,evergreen,710,710,653,8,55,230,20,110,10,10,6,7,NA,Duplicate of Metcalfe_2009_230,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus pervagata,tree,1,0,simple,no,evergreen,NA,710,653,10,50,180,20,70,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus psidioides,tree,1,1,simple,no,evergreen,778.3,NA,NA,20,60,160,25,65,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus sericea,tree,1,0,simple,no,evergreen,NA,710,653,15,25,130,12,37,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus trineura-capensis,tree,1,0,simple,no,evergreen,NA,710,653,6,50,135,15,40,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhodomyrtus trineura-trineura,shrub,1,0,simple,no,evergreen,NA,710,653,6,50,135,15,40,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ristantia gouldii,tree,1,1,simple,no,evergreen,NA,650,653,30,40,100,20,55,6,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ristantia pachysperma,tree,1,0,simple,no,evergreen,650,650,653,36,70,210,30,105,7,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ristantia waterhousei,tree,1,0,simple,no,evergreen,NA,NA,NA,20,40,160,18,58,8,9,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerantia chartacea,tree,1,0,simple,no,evergreen,NA,NA,653,10,40,160,15,40,6,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sphaerantia discolor,tree,1,0,simple,no,evergreen,NA,NA,653,25,80,140,30,60,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stockwellia quadrifida,tree,0,1,simple,no,evergreen,NA,NA,653,40,50,145,20,60,8,11,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syncarpia glomulifera,tree,1,0,simple,no,evergreen,740,740,743,25,30,110,14,45,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium alatoramulum,tree,1,0,simple,no,evergreen,NA,601,653,20,50,160,20,50,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium alliiligneum,tree,0,1,simple,no,evergreen,500,601,653,35,75,170,40,73,15,20,8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium angophoroides,tree,1,0,simple,no,evergreen,755,601,653,30,30,140,15,50,7,9,4,5,NA,Duplicate of Brock_1993_302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium anisatum,tree,1,0,simple,no,evergreen,NA,NA,NA,45,50,125,10,25,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium apodophyllum,tree,1,0,simple,no,evergreen,NA,601,653,20,30,105,10,45,8,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium aqueum,tree,1,1,simple,no,evergreen,NA,601,653,20,80,160,25,60,8,15,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium argyropedicum,tree,1,1,simple,no,evergreen,NA,601,653,24,40,85,15,28,12,22,15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium armstrongii,tree,1,1,simple,no,evergreen,NA,NA,NA,20,55,145,14,39,7,9,4,6,NA,Duplicate of Brock_1993_303,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_303,Duplicate of Brock_1993_303
Syzygium australe,tree,1,1,simple,no,evergreen,590,601,653,24,30,100,10,40,7,12,4,6,NA,Duplicate of Metcalfe_2009_257,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium bamagense,tree,0,1,simple,no,evergreen,NA,601,653,48,85,180,42,80,20,40,20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium banksii,tree,1,1,simple,no,evergreen,NA,601,653,26,80,120,15,40,8,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium boonjee,tree,0,1,simple,no,evergreen,NA,601,653,25,50,120,17,45,20,30,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium Bora,tree,1,1,simple,no,evergreen,NA,NA,NA,8,95,210,22,60,8,9,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium branderhorstii,tree,0,1,simple,no,evergreen,NA,601,653,25,70,170,30,90,17,25,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium buettnerianum,tree,1,1,simple,no,evergreen,NA,601,653,25,40,140,20,65,10,15,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium bungadinnia,tree,0,1,simple,no,evergreen,NA,601,653,30,50,100,20,48,20,30,15,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium canicortex,tree,1,0,simple,no,evergreen,570,601,653,35,10,64,8,30,5,10,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium cormiflorum,tree,0,1,simple,no,evergreen,620,601,653,30,60,210,25,100,25,32,20,30,NA,Duplicate of Metcalfe_2009_258,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium corynanthum,tree,1,1,simple,no,evergreen,580,601,653,30,37,130,24,56,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium crebrinerve,tree,1,0,simple,no,evergreen,632.1,NA,NA,45,50,140,15,50,5,6,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium dansiei,tree,0,1,simple,no,evergreen,NA,601,653,30,38,85,13,38,15,20,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium endophloium,tree,1,1,simple,no,evergreen,730,601,653,40,38,90,13,40,7,8,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium erythrocalyx,tree,0,1,simple,no,evergreen,NA,601,653,25,155,300,62,175,16,27,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium erythrodoxum,tree,0,1,simple,no,evergreen,NA,601,653,12,40,120,10,55,10,20,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium fibrosum,tree,1,1,simple,no,evergreen,NA,601,653,15,60,110,30,62,8,10,8,10,NA,Duplicate of NTH_2014_630,NA,NA,NA,NA,NA,Duplicate of Brock_1993_306,NA,NA,Duplicate of Brock_1993_306
Syzygium forte-forte,tree,0,1,simple,no,evergreen,560,601,653,30,60,165,35,112,10,25,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium forte-potamophilum,tree,0,1,simple,no,evergreen,560,601,653,20,77,140,25,60,10,25,10,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium francisii,tree,1,0,simple,no,evergreen,619.2,NA,NA,45,40,80,15,35,4,5,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium fratris,tree,1,0,simple,no,evergreen,NA,601,653,12,30,85,13,34,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium glenum,tree,0,1,simple,no,evergreen,NA,559,653,30,85,200,32,67,35,60,35,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium gustavioides,tree,0,1,simple,no,evergreen,571,601,653,40,50,155,20,75,50,80,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium hodgkinsoniae,tree,0,1,simple,no,evergreen,602,NA,NA,25,70,130,30,60,25,40,25,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium johnsonii,tree,1,0,simple,no,evergreen,650,601,653,25,35,120,15,70,10,10,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium kuranda,tree,0,1,simple,no,evergreen,656,601,653,35,63,125,24,55,20,25,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium luehmannii,tree,1,0,simple,no,evergreen,570,601,653,35,30,70,7,28,2,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Syzygium macilwraithianum,tree,0,1,simple,no,evergreen,NA,601,653,30,35,105,15,45,10,15,11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
