species,species_code,site,site2,contextual,LENGTH,WIDTH,AREA,NPSU,FRESH.WT,DRY.WT,WT.STALK,THICK,INCLIN,VOL.CHL,FW.CHL,A647,A664,N,P,leaf_chlorophyll_A_per_dry_mass,leaf_chlorophyll_B_per_dry_mass,leaf_chlorophyll_per_dry_mass2,leaf_chlorophyll_per_dry_mass,chlorophyll_A_B_ratio,count_leaves,leaf_area,stalk_dry_mass,leaf_fresh_mass,leaf_dry_mass,leaf_dry_matter_content,leaf_water_content_per_mass,support_fraction,specific_leaf_area
Corybas sp,COR.SPE,NET1,Mathinna,canopy,10,10,1.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.093,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,NET1,Mathinna,canopy,10,8,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,NET1,Mathinna,canopy,10,8,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA
Drymophylla cyanocarpa,DRY.CYA,NET1,Mathinna,canopy,10,3,0.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,10,8.5,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,10,7,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,subcanopy sapling,10,7.5,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,10,7,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,10,7,0.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533,NA,NA,NA,NA,NA,NA,NA
Pimelia drupacea,PIM.DRU,NWT1,Balfour,canopy,10,4,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,10,8.5,0.527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,10,7,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,10,6.5,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,10,8,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,10,9,0.607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.607,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,10,6.5,0.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,10,7.5,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,10,7.5,0.481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,SWT1,Anne,canopy,10,8,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,SWT1,Anne,canopy,10,8,0.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,10.5,2.5,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,10.5,6.5,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,10.5,8,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,10.5,3.5,0.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.648,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,10.5,6.5,0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,10.5,8,0.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.298,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,10.5,6,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,10.5,8,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA
Lastreopsis decomposita,LAS.DEC,BAT1,Lumeah,canopy,11,4,2.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.988,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,11,7,2.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.597,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,11,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,11,8.5,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,NEG1,Cascades,canopy,11,6,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,NA
Lastreopsis decomposita,LAS.DEC,NEG1,Cascades,canopy,11,5,4.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.034,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,11,9,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.927,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,subcanopy sapling,11,8.5,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,11,11,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.858,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,11,11,1.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.146,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,11,12.5,1.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.283,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,11,13,2.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.184,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,NET1,Mathinna,canopy,11,8.5,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,NET1,Mathinna,canopy,11,9,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,NET1,Mathinna,canopy,11,8.5,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,subcanopy sapling,11,8,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,11,4,0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,11,7,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,11,11,0.456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.456,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,SWT1,Anne,canopy,11,8.5,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,SWT1,Anne,canopy,11,9,0.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
Acianthus viridis,ACI.VIR,SWT1,Anne,canopy,11,8.5,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,11,2.5,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,11,2,0.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,11.5,9.5,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,11.5,7,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA,NA
Cyathodes glauca,CYA.GLA,NET1,Mathinna,canopy,11.5,1,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.191,NA,NA,NA,NA,NA,NA,NA
climber no 1 (furry leaf),CLI.NO1,NEG1,Cascades,canopy,12,7,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,12,8.5,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736,NA,NA,NA,NA,NA,NA,NA
Hyrocotyle pedicellosa,HYD.PED,NEG1,Cascades,canopy,12,24,7.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.791,NA,NA,NA,NA,NA,NA,NA
Hyrocotyle pedicellosa,HYD.PED,NEG1,Cascades,canopy,12,26,11.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.76,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,12,8,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,subcanopy sapling,12,9.5,1.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.059,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,12,11,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,12,10,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,12,9,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.495,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,12,4,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,12,3,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,12,10,0.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,12,8,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,12,8,0.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,12,13,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,12,3,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,12,3.5,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.233,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,12,3.5,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,12.5,7,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,12.5,6.5,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,12.5,6,0.628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,12.5,9.5,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,12.5,9.5,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,12.5,9,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,subcanopy sapling,12.5,6,0.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.691,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,12.5,8,1.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.395,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,subcanopy sapling,12.5,9,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,12.5,7,0.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,12.5,3,0.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,NA,NA,NA
Lastreopsis decomposita,LAS.DEC,BAT1,Lumeah,canopy,13,7,1.331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.331,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,13,2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,13,10,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.548,NA,NA,NA,NA,NA,NA,NA
Lastreopsis decomposita,LAS.DEC,NEG1,Cascades,canopy,13,5,1.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.107,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,13,9,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,13,10.5,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,13,9.5,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.661,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,13,10,0.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.448,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,13,9,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA
Cyathodes glauca,CYA.GLA,NET1,Mathinna,canopy,13,1.5,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,13,9,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,13,11,1.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.015,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,13,4,0.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,13,4,0.509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,13,9,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,13,10.5,0.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.593,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,13,4,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,13.5,8,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,13.5,13,0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,13.5,4,0.567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,NWT1,Balfour,canopy,13.5,5.5,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,14,7,1.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.323,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,14,6,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.778,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,NEG1,Cascades,canopy,14,9,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,NEG1,Cascades,canopy,14,10,0.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,NEG1,Cascades,canopy,14,7.5,1.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.194,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,NEG1,Cascades,canopy,14,8,0.713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA
