Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Spermacoce pogostoma Benth.,NA,NA,Brennan 2004,NA,NA,NA,NA
Spermacoce protrusa Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce redacta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce remota Lam.,NA,NA,NA,NA,NA,NA,NA
Spermacoce resinosula Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce reticulata Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce retitesta Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce rupicola Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce scabrisina Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce sp. platysperma (J.R.Clarkson 6546),NA,NA,NA,NA,NA,NA,NA
Spermacoce stenophylla F.Muell.,NA,NA,KNP plots,Seeder,None,NA,NA
Spermacoce stigmatosa Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce suprahila Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce tectanthera Harwood,NA,NA,NA,NA,NA,NA,NA
Spermacoce trichosiphonia Harwood,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Spermacoce verticillata L.,NA,NA,NA,NA,NA,NA,NA
Synaptantha,NA,NA,NA,NA,NA,NA,NA
Synaptantha scleranthoides (F.Muell.) Pedley ex Halford,NA,NA,NA,NA,NA,NA,NA
Synaptantha tillaeacea (F.Muell.) Hook.f.,NA,NA,NA,NA,NA,NA,NA
Synaptantha tillaeacea (F.Muell.) Hook.f. var. Western Tanami (D.E.Albrecht 7852),NA,NA,NA,NA,NA,NA,NA
Synaptantha tillaeacea (F.Muell.) Hook.f. var. hispidula Halford,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Synaptantha tillaeacea (F.Muell.) Hook.f. var. tillaeacea,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Tarenna,NA,NA,NA,NA,NA,NA,NA
Tarenna dallachiana (F.Muell. ex Benth.) S.Moore,NA,NA,NA,NA,NA,NA,NA
Tarenna dallachiana (F.Muell. ex Benth.) S.Moore subsp. expandens (F.Muell.) S.T.Reynolds & P.I.Forst.,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Tarenna pentamera (Benth.) S.T.Reynolds,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Tarennoidea,NA,NA,NA,NA,NA,NA,NA
Tarennoidea wallichii (Hook.f.) Tirveng. & Sastre,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Timonius,NA,NA,NA,NA,NA,NA,NA
Timonius timon (Spreng.) Merr.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Triflorensia,NA,NA,NA,NA,NA,NA,NA
Triflorensia australis (Benth.) S.T.Reynolds,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
RUPPIACEAE,NA,NA,NA,NA,NA,NA,NA
Ruppia,NA,NA,NA,NA,NA,NA,NA
Ruppia maritima L.,NA,NA,"Albrecht 2004, Liddle 2004",NA,NA,NA,NA
Ruppia tuberosa J.S.Davis & Toml.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
RUTACEAE,NA,NA,NA,NA,NA,NA,NA
Aegle,NA,NA,NA,NA,NA,NA,NA
Aegle marmelos (L.) Correa ex Roxb.,NA,NA,NA,NA,NA,NA,NA
Boronia,NA,NA,NA,NA,NA,NA,NA
Boronia amplectens Duretto,NA,NA,I.D.Cowie,Seeder,NA,NA,NA
Boronia decumbens Duretto,NA,NA,I.D.Cowie,NA,NA,NA,NA
Boronia filicifolia A.Cunn. ex DC.,NA,NA,Yates 2003,Seeder,None,NA,NA
Boronia grandisepala F.Muell.,NA,NA,NA,NA,NA,NA,NA
Boronia grandisepala F.Muell. subsp. acanthophida Duretto,NA,NA,NA,NA,NA,NA,NA
Boronia grandisepala F.Muell. subsp. grandisepala,NA,NA,NA,NA,NA,NA,NA
Boronia jucunda Duretto,NA,NA,NA,NA,NA,NA,NA
Boronia lanceolata F.Muell.,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA
Boronia lanuginosa Endl.,NA,NA,"KNP plots, Liddle 2004, Cowie 2015","Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Boronia laxa Duretto,NA,NA,I.D.Cowie,NA,NA,NA,NA
Boronia prolixa Duretto,NA,NA,NA,NA,NA,NA,NA
Boronia quadrilata Duretto,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Boronia rupicola Duretto,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Boronia suberosa Duretto,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Boronia tolerans Duretto,NA,NA,"Liddle 2004, Brennan 2004",Resprouter,NA,NA,NA
Boronia verecunda Duretto,NA,NA,NA,NA,NA,NA,NA
Boronia viridiflora Duretto,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Boronia wilsonii (F.Muell. ex Benth.) Duretto,NA,NA,NA,NA,NA,NA,NA
Boronia xanthastrum Duretto,NA,NA,"Liddle 2004, Brennan 2004",Seeder,NA,NA,NA
Boronia zeteticorum Duretto,NA,NA,NA,NA,NA,NA,NA
Citrus,NA,NA,NA,NA,NA,NA,NA
Citrus gracilis Mabb.,NA,NA,KNP plots,Resprouter,NA,NA,NA
Clausena,NA,NA,NA,NA,NA,NA,NA
Clausena excavata Burm.f.,NA,NA,I.D.Cowie,NA,NA,NA,NA
Drummondita,NA,NA,NA,NA,NA,NA,NA
Drummondita borealis Duretto,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Geijera,NA,NA,NA,NA,NA,NA,NA
Geijera salicifolia Schott,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Glycosmis,NA,NA,NA,NA,NA,NA,NA
Glycosmis macrophylla (Blume) Miq.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Glycosmis trifoliata (Blume) Spreng.,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Harrisonia,NA,NA,NA,NA,NA,NA,NA
Harrisonia brownii A.Juss.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Luvunga,NA,NA,NA,NA,NA,NA,NA
Luvunga monophylla (DC.) Mabb.,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Melicope,NA,NA,NA,NA,NA,NA,NA
Melicope elleryana (F.Muell.) T.G.Hartley,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004",Faculative resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Micromelum,NA,NA,NA,NA,NA,NA,NA
Micromelum minutum (G.Forst.) Wight & Arn.,NA,NA,"Yates 2003, JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Murraya,NA,NA,NA,NA,NA,NA,NA
Murraya koenigii (L.) Spreng.,NA,NA,NA,NA,NA,NA,NA
Murraya paniculata (L.) Jack,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Neobyrnesia,NA,NA,NA,NA,NA,NA,NA
Neobyrnesia suberosa J.A.Armstr.,NA,NA,NA,NA,NA,NA,NA
Zanthoxylum,NA,NA,NA,NA,NA,NA,NA
Zanthoxylum rhetsa (Roxb.) DC.,NA,NA,I.D.Cowie,NA,NA,NA,NA
SALICACEAE,NA,NA,NA,NA,NA,NA,NA
Flacourtia,NA,NA,NA,NA,NA,NA,NA
Flacourtia territorialis Airy Shaw,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
SALVINIACEAE,NA,NA,NA,NA,NA,NA,NA
Azolla,NA,NA,NA,NA,NA,NA,NA
Azolla pinnata R.Br.,NA,NA,KNP plots,Seeder,None,NA,NA
Azolla rubra R.Br.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Salvinia,NA,NA,NA,NA,NA,NA,NA
Salvinia molesta D.S.Mitch.,NA,NA,NA,NA,NA,NA,NA
SANTALACEAE,NA,NA,NA,NA,NA,NA,NA
Anthobolus,NA,NA,NA,NA,NA,NA,NA
Anthobolus filifolius R.Br.,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Anthobolus leptomerioides F.Muell.,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA
Dendromyza,NA,NA,NA,NA,NA,NA,NA
Dendromyza reinwardtiana (Blume ex Korth.) Danser,NA,NA,"JRS 2004, Liddle 2004",NA,NA,NA,NA
Exocarpos,NA,NA,NA,NA,NA,NA,NA
Exocarpos latifolius R.Br.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Exocarpos sparteus R.Br.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,NA,NA
Santalum,NA,NA,NA,NA,NA,NA,NA
Santalum acuminatum (R.Br.) DC.,NA,NA,"Latz 2004, Brock 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Santalum album L.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Santalum lanceolatum R.Br.,NA,NA,"Yates 2003, JRS 2004, Latz 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Viscum,NA,NA,NA,NA,NA,NA,NA
Viscum articulatum Burm.f.,NA,NA,JRS 2004,Seeder,None,Dispersal reliant,NA
Viscum whitei Blakely,NA,NA,NA,NA,NA,NA,NA
Viscum whitei Blakely subsp. flexicaule (Barlow) Barlow,NA,NA,NA,NA,NA,NA,NA
SAPINDACEAE,NA,NA,NA,NA,NA,NA,NA
Alectryon,NA,NA,NA,NA,NA,NA,NA
Alectryon kimberleyanus S.T.Reynolds,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Alectryon oleifolius (Desf.) S.T.Reynolds,NA,NA,NA,NA,NA,NA,NA
Alectryon oleifolius (Desf.) S.T.Reynolds subsp. elongatus S.T.Reynolds,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Alectryon tropicus (S.T.Reynolds) S.T.Reynolds,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Allophylus,NA,NA,NA,NA,NA,NA,NA
Allophylus cobbe (L.) Raeusch.,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Arytera,NA,NA,NA,NA,NA,NA,NA
Arytera bifoliolata S.T.Reynolds,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Atalaya,NA,NA,NA,NA,NA,NA,NA
Atalaya brevialata Cowie & G.M.Wightman,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Atalaya hemiglauca (F.Muell.) F.Muell. ex Benth.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Atalaya salicifolia (DC.) Blume,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Atalaya variifolia F.Muell. ex Benth.,NA,NA,NA,NA,NA,NA,NA
Cardiospermum,NA,NA,NA,NA,NA,NA,NA
Cardiospermum halicacabum L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Cardiospermum halicacabum L. var. halicacabum,NA,NA,KNP plots,Seeder,None,NA,NA
Cupaniopsis,NA,NA,NA,NA,NA,NA,NA
Cupaniopsis anacardioides (A.Rich.) Radlk.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Diplopeltis,NA,NA,NA,NA,NA,NA,NA
Diplopeltis stuartii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Diplopeltis stuartii F.Muell. var. glandulosa A.S.George,NA,NA,Brennan 2004,NA,NA,NA,NA
Diplopeltis stuartii F.Muell. var. stuartii,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dodonaea,NA,NA,NA,NA,NA,NA,NA
Dodonaea arnhemica (S.T.Reynolds) M.Harrington,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA
Dodonaea barklyana (S.T.Reynolds) M.Harrington,NA,NA,Brennan 2004,NA,NA,NA,NA
Dodonaea coriacea (Ewart & O.B.Davies) McGill.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Dodonaea hispidula Endl.,NA,NA,NA,NA,NA,NA,NA
Dodonaea hispidula Endl. var. arida (S.T.Reynolds) M.Harrington,NA,NA,Brennan 2004,NA,NA,NA,NA
Dodonaea hispidula Endl. var. hispidula,NA,NA,NA,NA,NA,NA,NA
Dodonaea hispidula Endl. var. phylloptera (F.Muell.) M.Harrington,NA,NA,NA,NA,NA,NA,NA
Dodonaea lanceolata F.Muell.,NA,NA,NA,NA,NA,NA,NA
Dodonaea lanceolata F.Muell. var. lanceolata,NA,NA,"Albrecht 2004, Brennan 2004",Faculative resprouter,NA,NA,NA
Dodonaea microzyga F.Muell.,NA,NA,NA,NA,NA,NA,NA
Dodonaea microzyga F.Muell. var. microzyga,NA,NA,"Brock 2004, Brennan 2004",Seeder,None,NA,NA
Dodonaea oxyptera F.Muell.,NA,NA,Yates 2003,NA,NA,NA,NA
Dodonaea petiolaris F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Dodonaea physocarpa F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA
Dodonaea platyptera F.Muell.,NA,NA,JRS 2004,Seeder,None,NA,NA
Dodonaea polyzyga F.Muell.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Seeder,None,NA,NA
Dodonaea stenophylla F.Muell.,NA,NA,JRS 2004,Faculative resprouter,NA,NA,NA
Dodonaea viscosa Jacq.,NA,NA,NA,NA,NA,NA,NA
Dodonaea viscosa Jacq. subsp. angustissima (DC.) J.G.West,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Dodonaea viscosa Jacq. subsp. mucronata J.G.West,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ganophyllum,NA,NA,NA,NA,NA,NA,NA
Ganophyllum falcatum Blume,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Harpullia,NA,NA,NA,NA,NA,NA,NA
Harpullia leichhardtii F.Muell. ex Benth.,NA,NA,JRS 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Mischocarpus,NA,NA,NA,NA,NA,NA,NA
Mischocarpus stipitatus S.T.Reynolds,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,Dispersal reliant,NA
SAPOTACEAE,NA,NA,NA,NA,NA,NA,NA
Mimusops,NA,NA,NA,NA,NA,NA,NA
Mimusops elengi L.,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Planchonella,NA,NA,NA,NA,NA,NA,NA
Planchonella arnhemica (F.Muell. ex Benth.) P.Royen,NA,NA,"Yates 2003, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Pleioluma,NA,NA,NA,NA,NA,NA,NA
Pleioluma laurifolia (A.Rich.) Swenson,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Sersalisia,NA,NA,NA,NA,NA,NA,NA
Sersalisia sericea (Aiton) R.Br.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
SCHIZAEACEAE,NA,NA,NA,NA,NA,NA,NA
Actinostachys,NA,NA,NA,NA,NA,NA,NA
Actinostachys digitata (L.) Wall. ex Reed,NA,NA,"JRS 2004, Liddle 2004",Seeder,None,NA,NA
Actinostachys wagneri (Selling) Reed,NA,NA,NA,NA,NA,NA,NA
Schizaea,NA,NA,NA,NA,NA,NA,NA
Schizaea dichotoma (L.) Sm.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,Dispersal reliant,NA
SCROPHULARIACEAE,NA,NA,NA,NA,NA,NA,NA
Eremophila,NA,NA,NA,NA,NA,NA,NA
Eremophila acrida Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila alternifolia R.Br.,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila arachnoides Chinnock,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Eremophila arachnoides Chinnock subsp. tenera Chinnock,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Eremophila arenaria Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila battii F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila bignoniiflora (Benth.) F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila christophori F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila clarkei Oldfield & F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila cordatisepala L.S.Sm.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eremophila dalyana F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila duttonii F.Muell.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila elderi F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila forrestii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila forrestii F.Muell. subsp. forrestii,NA,NA,"Liddle 2004, Brennan 2004",Resprouter,NA,NA,NA
Eremophila freelingii F.Muell.,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila gibsonii F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eremophila gilesii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila gilesii F.Muell. subsp. gilesii,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila glabra (R.Br.) Ostenf.,NA,NA,NA,NA,NA,NA,NA
Eremophila glabra (R.Br.) Ostenf. subsp. glabra,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila goodwinii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila goodwinii F.Muell. subsp. ecapitata Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila goodwinii F.Muell. subsp. goodwinii,NA,NA,Brennan 2004,NA,NA,NA,NA
Eremophila hughesii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila hughesii F.Muell. subsp. hughesii,NA,NA,Brennan 2004,NA,NA,NA,NA
Eremophila hughesii F.Muell. subsp. sanguinensis Chinnock,NA,NA,Brennan 2004,NA,NA,NA,NA
Eremophila hygrophana Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila latrobei F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila latrobei F.Muell. subsp. glabra L.S.Sm.,NA,NA,NA,NA,NA,NA,NA
Eremophila latrobei F.Muell. subsp. latrobei,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Eremophila longifolia (R.Br.) F.Muell.,NA,NA,Latz 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Eremophila macdonnellii F.Muell.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila maculata (Ker Gawl.) F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila maculata (Ker Gawl.) F.Muell. subsp. brevifolia Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila maculata (Ker Gawl.) F.Muell. subsp. maculata,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila neglecta J.M.Black,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eremophila obovata L.S.Sm.,NA,NA,NA,NA,NA,NA,NA
Eremophila obovata L.S.Sm. subsp. glabriuscula L.S.Sm.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila obovata L.S.Sm. subsp. obovata,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila ovata Chinnock,NA,NA,Latz 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila paisleyi F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eremophila paisleyi F.Muell. subsp. glandulosa Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila platythamnos Diels,NA,NA,NA,NA,NA,NA,NA
Eremophila platythamnos Diels subsp. exotrachys (Kraenzl.) Chinnock,NA,NA,"Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila polyclada (F.Muell.) F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA
Eremophila prostrata Chinnock,NA,NA,"Latz 2004, Albrecht 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila rotundifolia F.Muell.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eremophila serrulata (A.Cunn. ex DC.) Druce,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Eremophila sp. Arookara Range (P.K.Latz 14181),NA,NA,"Latz 2004, Liddle 2004",NA,NA,NA,NA
Eremophila sp. Mt Edward (D.E.Albrecht 10981),NA,NA,NA,NA,NA,NA,NA
Eremophila sturtii R.Br.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila tietkensii F.Muell. & Tate,NA,NA,NA,NA,NA,NA,NA
Eremophila willsii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila willsii F.Muell. subsp. integrifolia (Ewart) Chinnock,NA,NA,NA,NA,NA,NA,NA
Eremophila willsii F.Muell. subsp. willsii,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eremophila youngii F.Muell.,NA,NA,NA,NA,NA,NA,NA
Eremophila youngii F.Muell. subsp. lepidota Chinnock,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Myoporum,NA,NA,NA,NA,NA,NA,NA
Myoporum montanum R.Br.,NA,NA,NA,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
SELAGINELLACEAE,NA,NA,NA,NA,NA,NA,NA
Selaginella,NA,NA,NA,NA,NA,NA,NA
Selaginella ciliaris (Retz.) Spring,NA,NA,JRS 2004,Seeder,None,NA,NA
Selaginella pygmaea (Kaulf.) Alston,NA,NA,NA,NA,NA,NA,NA
Selaginella sp. Mt Gilruth (D.L.Jones 1543),NA,NA,NA,NA,NA,NA,NA
SIMAROUBACEAE,NA,NA,NA,NA,NA,NA,NA
Brucea,NA,NA,NA,NA,NA,NA,NA
Brucea javanica (L.) Merr.,NA,NA,JRS 2004,Resprouter,Underground storage organs (bulbs/tubers),NA,NA
Samadera,NA,NA,NA,NA,NA,NA,NA
Samadera sp. Mary River (I.D.Cowie 1454) Dunlop,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
SMILACACEAE,NA,NA,NA,NA,NA,NA,NA
Smilax,NA,NA,NA,NA,NA,NA,NA
Smilax australis R.Br.,NA,NA,"KNP plots, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Smilax blumei A.DC.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
SOLANACEAE,NA,NA,NA,NA,NA,NA,NA
Capsicum,NA,NA,NA,NA,NA,NA,NA
Capsicum annuum L.,NA,NA,JRS 2004,Seeder,None,NA,NA
Datura,NA,NA,NA,NA,NA,NA,NA
Datura ferox L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Datura inoxia Mill.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Datura leichhardtii F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Datura leichhardtii F.Muell. ex Benth. subsp. leichhardtii,NA,NA,NA,NA,NA,NA,NA
Datura wrightii Regel,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Duboisia,NA,NA,NA,NA,NA,NA,NA
"Duboisia arenitensis Craven, Lepschi & Haegi",NA,NA,NA,NA,NA,NA,NA
Duboisia hopwoodii (F.Muell.) F.Muell.,NA,NA,Latz 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Lycium,NA,NA,NA,NA,NA,NA,NA
Lycium ferocissimum Miers,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Lycopersicon,NA,NA,NA,NA,NA,NA,NA
Lycopersicon esculentum Mill.,NA,NA,NA,NA,NA,NA,NA
Lycopersicon esculentum Mill. var. cerasiforme (Dun.) Alef.,NA,NA,NA,NA,NA,NA,NA
Nicotiana,NA,NA,NA,NA,NA,NA,NA
Nicotiana benthamiana Domin,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Nicotiana excelsior (J.M.Black) J.M.Black,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Nicotiana glauca Graham,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Nicotiana gossei Domin,NA,NA,Latz 2004,Seeder,NA,NA,NA
Nicotiana megalosiphon Van Heurck & Muell.Arg.,NA,NA,NA,NA,NA,NA,NA
Nicotiana megalosiphon Van Heurck & Muell.Arg. subsp. sessilifolia P.Horton,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
