Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,88,0,31.83,2.76,2073,2256.8,757,2.98,365.17,C3,Tufted,Perennial,Crown,0
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,41,3,17.9,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07317073170731707
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,104,0,20.37,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,186,0,53.79,3.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,10,0,9.63,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,74,130,23,3.22,1865,1916.93,774,2.48,415.01,NA,NA,NA,NA,1.7567567567567568
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,110,63,20.37,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5727272727272728
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,66,61,20.37,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9242424242424242
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,70,45,25.78,2.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6428571428571429
8 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,27,0,9.63,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,45,31,25.78,1.75,1553,2026.57,634,3.2,408.24,NA,NA,NA,NA,0.6888888888888889
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,90,79,25.78,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8777777777777778
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,55,39,17.9,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7090909090909091
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,62,58,20.37,3.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9354838709677419
11 Days,Austrostipa scabra spp falcata,Pooideae,Stipeae,73,89,23,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2191780821917808
4 Days,Anthosacne scabra,Pooideae,Triticeae,139,50,38.52,3.61,1503,2298.65,537,4.28,357.29,C3,Tufted,Perennial,Crown,0.3597122302158273
4 Days,Anthosacne scabra,Pooideae,Triticeae,118,56,49.74,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4745762711864407
4 Days,Anthosacne scabra,Pooideae,Triticeae,118,107,49.74,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9067796610169492
4 Days,Anthosacne scabra,Pooideae,Triticeae,93,62,45.84,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6666666666666666
4 Days,Anthosacne scabra,Pooideae,Triticeae,54,48,45.84,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8888888888888888
8 Days,Anthosacne scabra,Pooideae,Triticeae,58,89,53.79,1.08,1030,1809.93,314,5.76,304.85,NA,NA,NA,NA,1.5344827586206897
8 Days,Anthosacne scabra,Pooideae,Triticeae,60,74,133.77,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2333333333333334
8 Days,Anthosacne scabra,Pooideae,Triticeae,78,85,38.52,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0897435897435896
8 Days,Anthosacne scabra,Pooideae,Triticeae,122,52,38.52,3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4262295081967213
8 Days,Anthosacne scabra,Pooideae,Triticeae,86,57,49.74,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6627906976744186
11 Days,Anthosacne scabra,Pooideae,Triticeae,48,40,71.62,0.67,661,1240.6,196,6.33,296.52,NA,NA,NA,NA,0.8333333333333334
11 Days,Anthosacne scabra,Pooideae,Triticeae,49,50,38.52,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0204081632653061
11 Days,Anthosacne scabra,Pooideae,Triticeae,52,61,49.74,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1730769230769231
11 Days,Anthosacne scabra,Pooideae,Triticeae,114,71,114.91,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6228070175438597
11 Days,Anthosacne scabra,Pooideae,Triticeae,90,55,42.1,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6111111111111112
4 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,111,24,53.79,2.06,406,721.98,117,6.17,288.18,C4,Rhizomatous,Perennial,Rhizome,0.21621621621621623
4 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,67,18,232.05,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26865671641791045
4 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,92,5,71.62,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05434782608695652
4 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,65,22,147.14,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3384615384615385
4 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,59,34,71.62,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576271186440678
8 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,58,47,127.32,0.46,291,759.89,89,8.54,305.84,NA,NA,NA,NA,0.8103448275862069
8 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,35,48,62.39,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3714285714285714
8 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,79,12,168.39,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1518987341772152
8 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,38,32,183.35,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8421052631578947
8 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,36,17,133.77,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4722222222222222
11 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,51,27,175.79,0.29,284,680.29,87,7.82,306.34,NA,NA,NA,NA,0.5294117647058824
11 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,70,41,38.52,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5857142857142857
11 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,58,49,215.18,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8448275862068966
11 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,62,61,168.39,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9838709677419355
11 Days,Sporobolus virginicus,Chloridoideae,Zoysieae,47,40,71.62,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851063829787234
4 Days,Zoysia macrantha,Chloridoideae,Zoysieae,27,6,76.47,0.35,591,1088.1,167,6.52,282.57,C4,Rhizomatous,Perennial,Rhizome,0.2222222222222222
4 Days,Zoysia macrantha,Chloridoideae,Zoysieae,35,14,175.79,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
4 Days,Zoysia macrantha,Chloridoideae,Zoysieae,33,10,121.04,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30303030303030304
4 Days,Zoysia macrantha,Chloridoideae,Zoysieae,57,10,168.39,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17543859649122806
4 Days,Zoysia macrantha,Chloridoideae,Zoysieae,43,17,81.49,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3953488372093023
8 Days,Zoysia macrantha,Chloridoideae,Zoysieae,30,81,191.07,0.16,533,1263.96,168,7.52,315.2,NA,NA,NA,NA,2.7
8 Days,Zoysia macrantha,Chloridoideae,Zoysieae,28,45,223.53,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6071428571428572
8 Days,Zoysia macrantha,Chloridoideae,Zoysieae,58,93,206.98,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.603448275862069
8 Days,Zoysia macrantha,Chloridoideae,Zoysieae,38,20,86.66,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5263157894736842
8 Days,Zoysia macrantha,Chloridoideae,Zoysieae,27,11,127.32,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4074074074074074
11 Days,Zoysia macrantha,Chloridoideae,Zoysieae,37,26,133.77,0.28,452,1002.78,153,6.55,338.5,NA,NA,NA,NA,0.7027027027027027
11 Days,Zoysia macrantha,Chloridoideae,Zoysieae,44,60,198.94,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3636363636363635
11 Days,Zoysia macrantha,Chloridoideae,Zoysieae,45,25,183.35,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5555555555555556
11 Days,Zoysia macrantha,Chloridoideae,Zoysieae,49,85,147.14,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7346938775510203
11 Days,Zoysia macrantha,Chloridoideae,Zoysieae,28,18,97.48,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6428571428571429
