find,dataset_id,replace,reason,taxonomic_resolution
Alloteropsis semialata (R.Br.) Hitchc.,Nano_2011,Alloteropsis semialata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alphitonia excelsa (A.Cunn. ex Fenzl) Reissek ex Benth.,Nano_2011,Alphitonia excelsa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Alstonia actinophylla (A.Cunn.) K.Schum.,Nano_2011,Alstonia actinophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alstonia spectabilis R.Br. subsp. ophioxyloides (F.Muell.) P.I.Forst.,Nano_2011,Alstonia spectabilis,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Alternanthera angustifolia R.Br.,Nano_2011,Alternanthera angustifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alternanthera nodiflora R.Br.,Nano_2011,Alternanthera nodiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aluta maisonneuvei (F.Muell.) Rye & Trudgen subsp. maisonneuvei,Nano_2011,Aluta maisonneuvei subsp. maisonneuvei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Alyogyne pinoniana (Gaudich.) Fryxell,Nano_2011,Alyogyne pinoniana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alysicarpus muelleri Schindl.,Nano_2011,Alysicarpus muelleri,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alysicarpus ovalifolius (Schumach.) Leonard,Nano_2011,Alysicarpus ovalifolius,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Alysicarpus schomburgkii Schindl.,Nano_2011,Alysicarpus schomburgkii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alysicarpus vaginalis (L.) A.DC.,Nano_2011,Alysicarpus vaginalis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Alyxia spicata R.Br.,Nano_2011,Alyxia spicata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alyxia tropica (P.I.Forst.) D.J.Middleton,Nano_2011,Alyxia tropica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amaranthus centralis J.Palmer & Mowatt,Nano_2011,Amaranthus centralis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amaranthus cochleitepalus Domin,Nano_2011,Amaranthus cochleitepalus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amaranthus interruptus R.Br.,Nano_2011,Amaranthus interruptus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amaranthus mitchellii Benth.,Nano_2011,Amaranthus mitchellii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ammannia baccifera L.,Nano_2011,Ammannia baccifera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ammannia multiflora Roxb.,Nano_2011,Ammannia multiflora,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amorphophallus galbra F.M.Bailey,Nano_2011,Amorphophallus galbra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amorphophallus paeoniifolius (Dennst.) Nicolson,Nano_2011,Amorphophallus paeoniifolius,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ampelocissus acetosa (F.Muell.) Planch.,Nano_2011,Ampelocissus acetosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ampelocissus frutescens Jackes,Nano_2011,Ampelocissus frutescens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ampelopteris prolifera (Retz.) Copel.,Nano_2011,Ampelopteris prolifera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amyema benthamii (Blakely) Danser,Nano_2011,Amyema benthamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amyema bifurcata (Benth.) Tiegh.,Nano_2011,Amyema bifurcata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amyema gibberula (Tate) Danser var. gibberula,Nano_2011,Amyema gibberula var. gibberula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Amyema hilliana (Blakely) Danser,Nano_2011,Amyema hilliana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amyema maidenii (Blakely) Barlow subsp. maidenii,Nano_2011,Amyema maidenii subsp. maidenii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Amyema miquelii (Lam. ex Miq.) Tiegh.,Nano_2011,Amyema miquelii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Amyema miraculosa (Miq.) Tiegh. subsp. boormanii (Blakely) Barlow,Nano_2011,Amyema miraculosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Amyema preissii (Miq.) Tiegh.,Nano_2011,Amyema preissii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Amyema quandang (Lindl.) Tiegh. var. quandang,Nano_2011,Amyema quandang var. quandang,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Amyema sanguinea (F.Muell.) Danser var. sanguinea,Nano_2011,Amyema sanguinea var. sanguinea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Amyema subcapitata Barlow,Nano_2011,Amyema subcapitata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Anacampseros australiana J.M.Black,Nano_2011,Anacampseros australiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Androcalva loxophylla (F.Muell.) C.F.Wilkin & Whitlock,Nano_2011,Androcalva loxophylla,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Aneilema siliculosum R.Br.,Nano_2011,Aneilema siliculosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Anemocarpa saxatilis (Paul G.Wilson) Paul G.Wilson,Nano_2011,Anemocarpa saxatilis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Angiopteris evecta (G.Forst.) Hoffm.,Nano_2011,Angiopteris evecta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aniseia martinicensis (Jacq.) Choisy,Nano_2011,Aniseia martinicensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
