dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Acalypha capillipes,NA,Kooyman_2011_0296,plant_height,2,m,expert_max,NA,Acalypha capillipes,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acalypha eremorum,NA,Kooyman_2011_0297,plant_height,4,m,expert_max,NA,Acalypha eremorum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acalypha lyonsii,NA,Kooyman_2011_0298,plant_height,4,m,expert_max,NA,Acalypha lyonsii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acalypha nemorum,NA,Kooyman_2011_0299,plant_height,4,m,expert_max,NA,Acalypha nemorum,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Alchornea aquifolia,NA,Kooyman_2011_0300,plant_height,7,m,expert_max,NA,Alchornea ilicifolia,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Alchornea rugosa,NA,Kooyman_2011_0301,plant_height,5,m,expert_max,NA,Alchornea rugosa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Alchornea aquifolia,NA,Kooyman_2011_0302,plant_height,5,m,expert_max,NA,Alchornea thozetiana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Aleurites moluccanus,NA,Kooyman_2011_0303,plant_height,35,m,expert_max,NA,Aleurites moluccana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Aleurites rockinghamensis,NA,Kooyman_2011_0304,plant_height,40,m,expert_max,NA,Aleurites rockinghamensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Antidesma bunius,NA,Kooyman_2011_0305,plant_height,10,m,expert_max,NA,Antidesma bunius,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Antidesma erostre,NA,Kooyman_2011_0306,plant_height,20,m,expert_max,NA,Antidesma erostre,Sams_2017,NA,Sams_2017_169,plant_height,20,m,unknown,Antidesma erostre
