Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Tenaxia N. P. Barker & H. P. Linder,C3,"Tenaxia aureocephala (J.G.Anderson) N.P.Barker & H.P.Linder, Tenaxia stricta (Schrad.) N. P. Barker & H.P. Linder","Ellis (1980, 1981); Linder et al. (2010)",NA,Tenaxia
Tetrachaete Chiov.,C4,Tetrachaete elionuroides Chiov.,Watson & Dallwitz (1992 onwards),NA,Tetrachaete
Tetrachne Nees,C4,Tetrachne dregei Nees,Watson & Dallwitz (1992 onwards),NA,Tetrachne
Tetrapogon Desf.,C4,Tetrapogon tenellus Chiov.,Watson & Dallwitz (1992 onwards),NA,Tetrapogon
Thamnocalamus Munro,C3,Thamnocalamus tessellatus (Nees) Soderstr. & R.P.Ellis,Metcalfe (1960); Soderstrom and Ellis (1982),NA,Thamnocalamus
Thaumastochloa C.E.Hubbard,C4,Thaumastochloa sp.,Watson & Dallwitz (1992 onwards),NA,Thaumastochloa
Thedachloa S.W.L.Jacobs,C4,Thedachloa annua S.W.L. Jacobs,This study,T. annua: C4 isotope value = -11.3,Thedachloa
Thelepogon Roem. & Schult.,C4,Thelepogon elegans Roth,Watson & Dallwitz (1992 onwards),NA,Thelepogon
Themeda Forssk.,C4,"Themeda australis (R. Br.) Stapf, Themeda quadrivalvis (L.) Kuntze, Themeda tremula (Nees ex Steud.) Hack., Themeda triandra Forssk.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Themeda
Thrasya Kunth,C4,"Thrasya petrosa (Trin.) Chase, Thrasya reticulata Swallen, Thrasya thrasyoides (Trin.) Chase",Watson & Dallwitz (1992 onwards),NA,Thrasya
Thuarea Pers.,C4,Thuarea involuta (Forster f.) R. Br. ex Roem. & Schultes,Watson & Dallwitz (1992 onwards),NA,Thuarea
Thyridachne C.E.Hubbard,C3,Thyridachne tisserantii C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Thyridachne
Thyridolepis S.T.Blake,C3,"Thyridolepis mitchelliana (Nees) Blake (=Neurachne mitchelliana Nees), Thyridolepis multiculmis (Pilger) Blake, Thyridolepis xerophila (Domin) Blake",Hattersley et al. (1982); Watson & Dallwitz (1992 onwards),NA,Thyridolepis
Thyrsostachys Gamble,C3,Thyrsostachys oliveri Gamble,Metcalfe (1960),NA,Thyrsostachys
Thysanolaena Nees,C3,Thysanolaena maxima (Roxb.) O.K.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Thysanolaena
Toliara Judziewicz,C4,"in revision, synonym of Perotis Ait.","Peterson, unpublished",NA,Toliara
Torreyochloa Church,C3,Torreyochloa pallida Church,Watson & Dallwitz (1992 onwards),NA,Torreyochloa
Tovarochloa Macfarlane & But,C3,Tovarochloa peruviana T.D.Macfarl. & But,Macfarlane & But (1982),NA,Tovarochloa
Trachypogon Nees,C4,Trachypogon plumosus Nees,Watson & Dallwitz (1992 onwards),NA,Trachypogon
Trachys Pers.,C4,Trachys muricata Steud.,Watson & Dallwitz (1992 onwards),NA,Trachys
Tragus Haller,C4,"Tragus australianus Blake, Tragus berteronianus Schult., Tragus racemosus (L.) All.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Tragus
Tribolium Desv.,C3,"Lasiochloa echinata (Thunb.) Henr. (= Tribolium), Plagiochloa acutiflora (Nees) Adamson & Sprague (= Tribolium), Plagiochloa uniolae (L.f.) Adamson & Sprague (= Tribolium)",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Tribolium
Trichloris Benth.,C4,Trichloris Benth. sp.,Brown (1958),NA,Trichloris
Tricholaena Schult,C4,"Tricholaena monachne (Trin.) Stapf & Hubbard, Tricholaena teneriffae Parl.",Watson & Dallwitz (1992 onwards),NA,Tricholaena
Trichoneura Anderss.,C4,Trichoneura arenaria (Hochst. & Steud.) Ekman,Watson & Dallwitz (1992 onwards),NA,Trichoneura
Trichopteryx Nees,C4,"Trichopteryx stolziana Henrard, Trichopteryx dregeana Nees",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Trichopteryx
Tridens Roem. & Schult.,C4,"Tridens braziliensis Nees, Tridens flavus (L.) Hitchc., Tridens grandiflorus (Vasey) Wooton & Stand. (Erioneuron), Tridens muticus (Torr.) Nash (=Triodia mutica (Torr.) Scribn.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Tridens
Trilobachne Henr.,C4,Trilobachne cookei (Stapf) Schenck ex Henrard,Renvoize (1982),NA,Trilobachne
Triniochloa Hitchc.,C3,Triniochloa stipoides (H.B.K.) Hitchcock,Watson & Dallwitz (1992 onwards),NA,Triniochloa
Triodia R.Br.,C4,"Triodia basedowii Pritzel, Triodia clelandii N.T. Burbidge, Triodia concinna N.T. Burbidge, Triodia hubbardii N.T. Burbidge, Triodia irritans R. Br., Triodia longiceps J.M. Black, Triodia marginata N.T. Burbidge, Triodia pungens R. Br., Triodia racemigera Gardner, Triodia secunda N.T. Burbidge, Triodia spicata N.T. Burbidge",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Triodia
Triplachne Link,C3,Triplachne nitens (Guss.) Link,Watson & Dallwitz (1992 onwards),NA,Triplachne
Triplasis Beauv.,C4,"Triplasis americana Beauv., Triplasis purpurea (Walt.) Chapm.",Watson & Dallwitz (1992 onwards),NA,Triplasis
Triplopogon Bor,C4,Triplopogon ramosissimus (Hack.) Bor (=Triplopogon spathiflorus (Hook. f.) Bor),Metcalfe (1960),NA,Triplopogon
Tripogon Roem. & Schult.,C4,"Tripogon loliiformis (Muell.) Hubbard, Tripogon minimus (A.Rich.) Hochst. ex Steud.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Tripogon
Tripsacum L.,C4,"Tripsacum laxum Nash, Tripsacum dactyloides (L.) L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Tripsacum
Triraphis R.Br.,C4,"Triraphis mollis R. Br., Triraphis pumilio R.Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Triraphis
Triscenia Griseb.,C3,Triscenia ovina Griseb.,Watson & Dallwitz (1992 onwards),NA,Triscenia
Trisetaria Forssk.,C3,-,Watson & Dallwitz (1992 onwards),"Trisetum Pers. including Trisetaria Forssk. C3 , Watson & Dallwitz (1992 onwards)",Trisetaria
Trisetum Pers.,C3,"Trisetum pumilum (Desf.) Kunth (= Lophochloa pumila (Desf.) Bor), Trisetum spicatum (L.) Richter, Trisetum flavescens (L.) P.Beauv., Trisetum altijugum (Fourn.) Scribn. (Peyritschia), Trisetum kochianum I. Holz. T. (Peyritschia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Trisetum
Tristachya Nees,C4,"Tristachya bequartii de Willd., Tristachya superba (De Not.) Schweinf. & Asch. (=Loudetia superba De Not), Tristachya leucothrix Trin. ex Nees (=Tristachya hispida K.Schum.), Tristachya inamoena K.Schum. (Zonotriche)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Tristachya
Triticum L.,C3,"Triticum aestivum L., Triticum dicoccoides (Körn. ex Asch. & Graebn.) Schweinf., Triticum dicoccum Schrank, Triticum polonicum L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Triticum
Tuctoria Reeder,C4,Tuctoria greenei (Vasey) J. Reeder,Watson & Dallwitz (1992 onwards),NA,Tuctoria
Uniola L.,C4,"Uniola paniculata L., Uniola pittieri Hack.",Watson & Dallwitz (1992 onwards),NA,Uniola
Uranthoecium Stapf,C4,Uranthoecium truncatum (Maiden & Betche) Stapf,Watson & Dallwitz (1992 onwards),NA,Uranthoecium
Urelytrum Hack.,C4,"Urelytrum squarrosum Hack., Urelytrum agropyroides (Hack.) Hack., Urelytrum annuum Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Urelytrum
Urochloa Beauv.,C4,"Urochloa decumbens (Stapf) Webster, Urochloa foliosa (R.Br.) Webster, Urochloa mosambicensis (Hackel) Dandy (=Urochloa pullulans Stapf), Urochloa glumaris (Trin.) Veldkamp (= Brachiaria paspaloides (J.Presl) C.E.Hubb.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Urochloa
Urochondra C.E.Hubbard,C4,Urochondra setulosa (Trin.) Hubbard,Watson & Dallwitz (1992 onwards),NA,Urochondra
Valiha S.Dransfield,C3,-,BEP clade,NA,Valiha
Vaseyochloa Hitchc.,C4,Vaseyochloa multinervosa (Vasey) Hitchc.,Watson & Dallwitz (1992 onwards),NA,Vaseyochloa
Veldkampia Ibaragi & Kobay,unknown,-,NA,NA,Veldkampia
Ventenata Koel.,C3,Ventenata dubia (Leers) Coss.,Watson & Dallwitz (1992 onwards),NA,Ventenata
Vietnamocalamus Nguyen,C3,-,BEP clade,NA,Vietnamocalamus
Vietnamochloa Veldkamp & Nowack,C4,Vietnamochloa aurea Veldkamp & R.Nowack,Van den Borre (1994),NA,Vietnamochloa
Vietnamosasa Nguyen,C3,-,BEP clade,NA,Vietnamosasa
Viguierella A.Camus,C4,Viguierella madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),NA,Viguierella
Vossia Wall. & Griff.,C4,Vossia cuspidata Wall. & Griff,Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Vossia
Vulpia Gmel.,C3,"Vulpia bromoides (L.) Gray, Vulpia incrassata (Salz. ex Loesel.) Parl., Vulpia inops Hack., Vulpia megalura (Nutt.) Rudb., Vulpia myuros (L.) Gmelin, Vulpia unilateralis (L.) Stace (= Vulpia Sect. Nardurus)",Watson & Dallwitz (1992 onwards),NA,Vulpia
Vulpiella Burollet,C3,Vulpiella stipoides (L.) Maire,Watson & Dallwitz (1992 onwards),NA,Vulpiella
Wangenheimia Moench,C3,Wangenheimia lima (L.) Trin.,Watson & Dallwitz (1992 onwards),NA,Wangenheimia
Whiteochloa C.E.Hubbard,C4,"Whiteochloa cymbiformis (Hughes) B.K. Simon, Whiteochloa semitonsa (Muell. ex Benth.) Hubbard",Watson & Dallwitz (1992 onwards),NA,Whiteochloa
Willkommia Hack.,C4,Willkommia sarmentosa Hack.,Watson & Dallwitz (1992 onwards),NA,Willkommia
Xerochloa R.Br.,C4,"Xerochloa barbata R. Br., Xerochloa imberbis R. Br., Xerochloa laniflora Benth.",Watson & Dallwitz (1992 onwards),NA,Xerochloa
Yakirra Lazarides & Webster,C4,"Yakirra australiensis (Domin) Lazarides & Webster, Yakirra majuscula (F. Muell. ex Benth.) Lazarides & Webster, Yakirra muelleri (Hughes) Lazarides & Webster, Yakirra nulla Lazarides & Webster Yakirra pauciflora (R.Br.) Lazarides & Webster",Watson & Dallwitz (1992 onwards),NA,Yakirra
Yushania Keng f.,C3,-,BEP clade,NA,Yushania
Yvesia A.Camus,C4,Yvesia madagascariensis A. Camus,Watson & Dallwitz (1992 onwards),NA,Yvesia
Zea L.,C4,Zea mays L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Zea
Zenkeria Trin.,C3,Zenkeria elegans Trin.,Watson & Dallwitz (1992 onwards),NA,Zenkeria
Zeugites P.Browne,C3,"Zeugites mexicana (Kunth) Trin. ex Steud., Zeugites pittieri Hack.",Watson & Dallwitz (1992 onwards),NA,Zeugites
Zingeria Smirnov,C3,"Zingeria kochii (Mez) Tsvelev, Zingeria trichopoda (Boiss.) P. Smirn.",Watson & Dallwitz (1992 onwards),NA,Zingeria
Zizania L.,C3,Zizania latifolia (Griseb.) Turcz. ex Stapf,Metcalfe (1960),NA,Zizania
Zizaniopsis Doell. & Asch.,C3,"Zizaniopsis miliacea (Michx.) Döll & Aschers, Zizaniopsis bonariensis (Bal. & Poitr.) Spegazz.",Watson & Dallwitz (1992 onwards),NA,Zizaniopsis
Zonotriche Phipps,C4,Zonotriche inamoena (K. Schum.) Phipps (=Tristachya inamoena K.Schum.),Watson & Dallwitz (1992 onwards),NA,Zonotriche
Zoysia Willd.,C4,Zoysia macrantha Desvaux,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Zoysia
Zygochloa S.T.Blake,C4,Zygochloa paradoxa (R. Br.) Blake,Watson & Dallwitz (1992 onwards),NA,Zygochloa
