species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Strangea cyanchicarpa,F.Muell.,Northern Sandplain shrublands,Sand,Sprout,,,,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Synaphaea petiolaris,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,,,nnnnnnnnyynn,,
Synaphaea polymorpha,R.Br.,Northern Sandplain shrublands,Generalist,Sprout and seed,≤2,bin,nnnnnnnnyynn,,
Cryptandra arbutiflora,Fenzl.,Northern Sandplain shrublands,,,,,,,
Cryptandra pungens,Steud.,Northern Sandplain shrublands,,,,,,,
Spyridium tridentatum,(Steud.) Benth,Northern Sandplain shrublands,Laterite,,,,nnnnyyyynnnn,,
Spyridium sp. aff. tridentatum,(Steud.) Benth,Northern Sandplain shrublands,Generalist,Seed,≤2,bin,nnnnnnnyyynn,,
Trymalium ledifolium,Fenzl.,Northern Sandplain shrublands,Laterite,,,,,,
Boronia ramosa,(Lindl.) Benth.,Northern Sandplain shrublands,Laterite,,,,,,
Eriostemon spicatus,A.Rich,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnnynn,,
Stackhousia brunonsis,Benth.,Northern Sandplain shrublands,Laterite,Sprout and seed,≤2,bin,nnnnnnnnnynn,,
Stackhousia pubescens,A.Rich,Northern Sandplain shrublands,Sand,,,,,,
Commersonia pulchella,Turcz.,Northern Sandplain shrublands,Sand,,,,,,
Lasiopetalum drummondii,Benth.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Lasiopetalum sp.,,Northern Sandplain shrublands,,,,,,,
Thomasia grandiflora,Lindl.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnyyynn,,
Stylidium adpressum,Benth.,Northern Sandplain shrublands,,Seed,,,,,
Stylidium leptophyllum,DC.,Northern Sandplain shrublands,,Seed,,,,,
Stylidium piliferum ssp. minor,(Mildbr.) Carlq.,Northern Sandplain shrublands,Laterite,Seed,≤2,bin,nnnnnnnnnynn,Flowering restricted to period 2-4 years after fire,
Stylidium repens,R.Br.,Northern Sandplain shrublands,Generalist,Seed,≤2,bin,nnnnnyyynnnn,,
Pimelea angustifolia,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Pimelea floribunda,Meissn.,Northern Sandplain shrublands,,Seed,,,,,
Pimelea imbricata,R.Br.,Northern Sandplain shrublands,,,,,,,
Pimelea suaveolens,(Endl.) Meissn.,Northern Sandplain shrublands,Laterite,Seed,≤2,bin,,Flowering restricted to period 2-4 years after fire,
Pimelea sulphurea,Meissn.,Northern Sandplain shrublands,,Sprout and seed,,,nnnnnnnnnynn,,
Tetratheca confertifolia,Steetz.,Northern Sandplain shrublands,Laterite,,,,nnnnnnnnnyyy,,
Hybanthus calycinus,(Steud.) F.Muell.,Northern Sandplain shrublands,,,,,,,
Hybanthus floribundus,(Walp.) F.Muell.,Northern Sandplain shrublands,Laterite,,≤2,bin,nnnnnnyynnnn,,
