name_original,raw_trait_value,trait,units
Syzygium coolminianum,382,volume seed,mm3
Eugenia reinwardtiana,448.9205,volume seed,mm3
Acmena hemilampra,523.5988,volume seed,mm3
Syzygium crebrinerve,523.5988,volume seed,mm3
Syzygium paniculatum,524,volume seed,mm3
Pongamia pinnata,625.263,volume seed,mm3
Harpullia pendula,652.8622,volume seed,mm3
Syzygium buettneranum,659.4046,volume seed,mm3
Alectryon repando.,685.72,volume seed,mm3
Acmena resa,696.91,volume seed,mm3
Syzygium xerampilum,696.91,volume seed,mm3
Syzygium armstrongii,796.3937,volume seed,mm3
Stenocarpus sinuatus,882.5781,volume seed,mm3
Waterhousea unipunctata,884.8819,volume seed,mm3
Cinnamomum cunningham.,1013.898,volume seed,mm3
Syzygium alliilignium,1022.6539,volume seed,mm3
Guilfoylia monostylis,1079.7701,volume seed,mm3
Planchonella australis,1430.5,volume seed,mm3
Terminalia catappa,1451.4158,volume seed,mm3
Beilschmedia recurva,1457.1754,volume seed,mm3
Syzygium velae,1539.3884,volume seed,mm3
Syzygium malaccense,1675.5161,volume seed,mm3
Syzygium erythrodoxum,1767.1459,volume seed,mm3
Syzygium papyraceum,1767.1459,volume seed,mm3
Syzygium sayeri,1767.1459,volume seed,mm3
Syzygium branderhorstii,2003.9434,volume seed,mm3
Waterhousea mulgraveana,2513.2741,volume seed,mm3
Syzygium argyropdium,2572.4408,volume seed,mm3
Syzygium danesiei,2806.1622,volume seed,mm3
Syzygium forte,2806.1622,volume seed,mm3
Syzygium pseudofastig.,2806.1622,volume seed,mm3
Waterhousea floribunda,2806.1622,volume seed,mm3
Acmena brachyandra,3056,volume seed,mm3
Syzygium macilwraith.,3313.3985,volume seed,mm3
Syzygium eucalyptoides,4188.7902,volume seed,mm3
Syzygium erythrocalyx,4674.4637,volume seed,mm3
Calophyllum inophloium,5001.48,volume seed,mm3
Acmena mackinoniana,5726.8616,volume seed,mm3
Avicennia marina,6536.376,volume seed,mm3
Macadamia ternifolia,6800.5,volume seed,mm3
