Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Securidaca macrophylla,,,,,,,,,,,,,,,,,,,,
Securidaca retusa,,,,,,,,,,,,,,,,,,,,
Securidaca silvestris,,,,,,,,,,,,,,,,,,,,
Securidaca spinifex,,,,,wind,53,,,,,240.00,53,,,,,,,,
Seguieira aculeata,,,,,,,,,,,,,,,,,,,,
Semialarium paniculatum,,,,,,,,,,,,,,,,,,,,
Senegalia martiusiana,,,,,,,,,,,,,,,,,,,,
Senegalia multipinnata,woody,99,,,,,,,,,,,,,,,,,,
Senegalia pedicellata,,,,,,,,,,,,,,,,,,,,
Senna chrysocarpa,,,,,,,,,,,,,,,,,,,,
Senna quinquangulata,,,,,,,,,,,,,,,,,,,,
Sericostachys scandens,woody,36,twiner,72,wind,36,,,38.50,36,7.15,100,,,,,,,,
Serjania atrolineata,woody,5,tendrils,5,wind,43,19.05442,57,20.88,"5,57",17.03,53,,,,,,,,
Serjania caracasana,,,,,wind,53,,,,,,,,,,,,,,
Serjania circumvallata,woody,5,tendrils,5,wind,43,,,37.21,"2,3,57",,,,,,,,,,
Serjania clematidea,,,,,,,,,,,,,,,,,,,,
Serjania communis,,,,,,,,,,,,,,,,,,,,
Serjania cornigera,woody,43,,,wind,43,,,27.90,3,,,,,,,,,,
Serjania elegans,,,,,,,,,,,,,,,,,,,,
Serjania fuscifolia,,,,,,,,,,,,,,,,,,,,
Serjania glabrata,,,,,wind,"53,57",,,,,,,,,,,,,,
Serjania goniocarpa,,,,,,,,,,,,,,,,,,,,
Serjania hebecarpa,,,,,,,,,,,,,,,,,,,,
Serjania laruotteana,,,,,,,,,,,,,,,,,,,,
Serjania lethalis,,,,,,,,,,,,,,,,,,,,
Serjania membranacea,,,,,,,,,,,,,,,,,,,,
Serjania meridionalis,,,,,,,,,,,,,,,,,,,,
Serjania mexicana,woody,5,tendrils,5,wing,53,12.758616,57,11.42,5,14.80,53,,,,,,,,
Serjania multiflora,,,,,,,,,,,,,,,,,,,,
Serjania obtusidentata,,,,,,,,,,,,,,,,,,,,
Serjania paradoxa,,,,,,,,,,,,,,,,,,,,
Serjania paucidentata,woody,5,,,wind,"53,57",,,15.76,3,,,,,,,,,,
Serjania perulacea,,,,,,,,,,,,,,,,,,,,
Serjania pluvialiflorens,woody,5,tendrils,5,wing,5,,,17.74,"5,57",,,,,,,,,,
Serjania pyramidata,woody,5,tendrils,5,wind,43,,,20.54,"2,3,57",48.00,53,,,,,,,,
Serjania reticulata,,,,,,,,,,,,,,,,,,,,
Serjania rhombea,woody,5,tendrils,5,wing,5,,,18.41,3,11.00,53,,,,,,,,
Serjania schiedeana,,,,,,,,,,,,,,,,,,,,
Serjania tenuifolia,,,,,,,,,,,,,,,,,,,,
Serjania trachygona,woody,5,tendrils,5,wing,5,,,1.82,5,,,,,,,,,,
Serjania tristis,,,,,,,,,,,,,,,,,,,,
Sicyos polyacanthos,herbaceous,21,tendrils,21,fleshy,21,,,74.38,21,35.09,100,,,,,,,,
Sida urens,,,,,,,,,,,1.31,53,,,,,,,,
Simicratea welwitschii,,,,,,,,,,,,,,,,,,,,
Skimmia japonica,,,,,animal,78,,,,,14.00,53,,,,,,,,
Smilax anceps,,,hooks,72,berry,63,,,,,82.00,53,,,,,,,,
Smilax aristolochiifolia,,,,,berry,63,,,,,,,,,,,,,,
Smilax aspera,,,tendrils,"9,12",drupe,"2,57",9.36,57,29.44,"9,12,57",43.72,53,,,,,,,,
Smilax australis,herbaceous,28,tendrils,28,drupe,27,11.27727798,57,47.57,"15,35,57",40.76,53,,,,,,,,
Smilax brasiliensis,,,scrambler,88,berry,63,,,,,,,,,,,,,,
Smilax calophylla,herbaceous,27,tendrils,27,berry,27,,,30.37,27,39.48,100,,,,,,,,
Smilax campestris,,,,,berry,63,,,,,,,,,,,,,,
Smilax china,,,tendrils,9,drupe,9,,,26.16,9,,,,,,,,,,
Smilax corbularia,woody,9,tendrils,9,drupe,9,,,28.35,9,,,,,,,,,,
Smilax cumanensis,,,,,berry,63,,,,,,,,,,,,,,
Smilax domingensis,,,,,berry,63,,,,,,,,,,,,,,
Smilax elastica,,,,,berry,63,,,,,,,,,,,,,,
Smilax fluminensis,,,,,drupe,63,,,,,,,,,,,,,,
Smilax glyciphylla,herbaceous,27,tendrils,27,drupe,27,19.00165993,57,16.07,"15,25,57",36.66,53,,,,,,,,
Smilax guianensis,,,tendrils,12,drupe,63,,,89.78,12,,,,,,,,,,
Smilax hypoglauca,,,tendrils,9,drupe,9,,,20.83,9,,,,,,,,,,
Smilax irrorata,,,,,berry,63,,,,,,,,,,,,,,
Smilax lebrunii,woody,9,tendrils,9,drupe,9,,,17.15,9,,,,,,,,,,
Smilax microphylla,,,,,drupe,63,,,,,,,,,,,,,,
Smilax mollis,herbaceous,5,tendrils,88,drupe,5,,,54.60,5,17.97,53,,,,,,,,
Smilax panamensis,herbaceous,5,tendrils,88,drupe,5,,,86.63,5,32.63,100,,,,,,,,
Smilax perfoliata,,,,,drupe,63,,,,,,,,,,,,,,
Smilax polyantha,,,,,drupe,63,,,,,,,,,,,,,,
Smilax riaveliana,,,,,drupe,63,,,,,,,,,,,,,,
Smilax rufescens,,,,,drupe,63,,,,,,,,,,,,,,
Smilax salicifolia,,,,,drupe,63,,,,,,,,,,,,,,
Smilax santaremensis,,,,,drupe,63,,,,,,,,,,,,,,
Smilax schomburgkiana,,,,,drupe,63,,,70.00,4,,,,,,,,,,
Smilax siphilitica,,,,,berry,63,,,,,,,,,,,,,,
Smilax spicata,,,,,drupe,63,,,,,,,,,,,,,,
Smilax spinosa,woody,5,tendrils,5,drupe,5,,,41.26,5,,,,,,,,,,
Smilax syphilitica,,,tendrils,90,drupe,53,,,,,220.00,53,,,,,,,,
Smilax zeylanica,,,twiner,76,drupe,63,,,,,,,,,,,,,,
Smilax anceps ,,,,,drupe,63,,,,,,,,,,,,,,
Solanum alternatopinnatum,,,,,,,,,,,,,,,,,,,,
Solanum aturense,,43,,,animal,53,,,,,,,,,,,,,,
Solanum benderianum,,,twiner,72,animal,72,,,,,,,,,,,,,,
Solanum concinnum,,,,,,,,,,,,,,,,,,,,
Solanum hirtellum,,,,,,,,,,,,,,,,,,,,
Solanum lanceifolium,woody,5,twiner,5,berry,5,,,63.98,3,,,,,,,,,,
Solanum pabstii,,,,,,,,,,,,,,,,,,,,
Solanum swartzianum,,,,,,,,,,,,,,,,,,,,
Solanum tampicense,,,,,,,,,,,,,,,,,,,,
Solanum wendlandii,woody,83,hooks,83,,,,,,,,,,,,,,,,
Souroubea corallina,,,,,,,,,,,,,,,,,,,,
Souroubea crassipetala,,,,,,,,,,,,,,,,,,,,
Souroubea guianensis,,,,,,,,,,,,,,,,,,,,
Sparattanthelium amazonum,,,,,,,,,,,,,,,,,,,,
Spathodea consanguinea,,,,,wind,86,,,,,,,,,,,,,,
Spatholobus ferrugineus,,,,,wind,53,,,,,,,,,,,,,,
Spatholobus hirsutus,,,,,,,,,,,,,,,,,,,,
Spatholobus maingayi,,,,,,,,,,,,,,,,,,,,
Spatholobus multiflorus,,,,,,,,,,,,,,,,,,,,
Spatholobus oblongifolius,,,,,,,,,,,,,,,,,,,,
Spatholobus parviflorus,,,,,,,,,,,,,,,,,,,,
Spatholobus sanguineus,,,,,,,,,,,,,,,,,,,,
Spatholobus suberectus,woody,9,,,,,,,93.10,9,478.83,100,,,,,,,,
Spatholobus viridis,,,,,,,,,,,,,,,,,,,,
Spermacoce ocymifolia,,,,,,,,,,,,,,,,,,,,
Stauntonia hexaphylla,,,,,fleshy,86,,,,,,,,,,,,,,
Stellaria mannii,herbaceous,21,scrambler,83,animal,72,,,4.20,21,8.44,100,,,,,,,,
Stellaria media,herbaceous,9,scrambler,21,animal,72,46.95751468,57,2.40,"9,57",0.40,53,,,,,,,,
Stephania abyssinica,woody,36,twiner,36,fleshy,36,,,83.13,36,,,,,,,,,,
Stephania cyanantha,woody,21,twiner,21,drupe,21,,,21.18,21,,,,,,,,,,
Stephania japonica,woody,9,twiner,28,drupe,9,25.97019023,57,27.83,"15,32,57",19.72,53,,,,,,,,
Stictocardia beraviensis,woody,21,twiner,21,unassisted,21,,,168.00,21,120.84,53,,,,,,,,
Stigmaphyllon convolvulifolium,,,,,,,,,,,,,,,,,,,,
Stigmaphyllon ellipticum,woody,43,,,wind,43,,,23.73,3,,,,,,,,,,
Stigmaphyllon lalandianum,,,,,,,,,,,,,,,,,,,,
Stigmaphyllon lindenianum,woody,43,,,wind,43,,,39.55,3,,,,,,,,,,
Stigmaphyllon puberulum,woody,43,,,wind,43,,,42.58,3,,,,,,,,,,
Stigmaphyllon sinuatum,,,,,,,,,,,,,,,,,,,,
Stigmaphyllon tarapotense,,,,,,,,,,,,,,,,,,,,
Stigmaphyllon tomentosum,,,,,,,,,,,,,,,,,,,,
Stixis suaveolens,woody,9,,,,,,,135.63,9,,,,,,,,,,
Stizophyllum inaequilaterum,,,,,wind,87,,,,,,,,,,,,,,
Stizophyllum perforatum,,,,,wind,87,,,,,,,,,,,,,,
Stizophyllum riparium,woody,43,,,wind,53,19.143464,57,41.94,"2,3,57",,,,,,,,,,
Strophanthus barteri,,,,,,,,,,,,,,,,,,,,
Strophanthus sarmentosus,woody,9,scrambler,9,coma,9,,,25.29,9,20.79,53,,,,,,,,
Strychnos brasiliensis,,,,,,,,,,,,,,,,,,,,
Strychnos bredemeyeri,woody,5,tendrils,5,fleshy,5,,,32.39,3,922.03,100,,,,,,,,
Strychnos cathayensis,woody,9,tendrils,9,drupe,9,,,7.35,9,,,,,,,,,,
Strychnos cuspidata,,,,,,,,,,,,,,,,,,,,
Strychnos dalzellii,,,,,,,,,,,,,,,,,,,,
Strychnos guianensis,,,,,animal,53,,,,,7240.00,52,,,,,,,,
Strychnos ignatii,woody,9,tendrils,9,drupe,9,,,42.26,9,1000.00,53,,,,,,,,
Strychnos lucens,woody,21,tendrils,21,animal,21,,,18.20,21,213.50,100,,,,,,,,
Strychnos luzoniensis,,,,,,,,,,,,,,,,,,,,
Strychnos maingayi,,,,,,,,,,,,,,,,,,,,
Strychnos medeola,,,,,,,,,,,,,,,,,,,,
Strychnos minor,woody,27,tendrils,27,berry,27,,,41.13,27,273.50,100,,,,,,,,
Strychnos mitscherlichii,,,,,,,,,,,,,,,,,,,,
Strychnos nigricans,woody,5,tendrils,5,fleshy,5,,,11.16,"3,5",,,,,,,,,,
Strychnos nitida,woody,9,tendrils,9,drupe,9,,,34.65,9,1617.90,100,,,,,,,,
Strychnos panamensis,woody,5,tendrils,5,fleshy,5,,,13.94,3,627.45,53,,,,,,,,
Strychnos parvifolia,,,,,,,,,,,,,,,,,,,,
Strychnos ramentifera,,,,,animal,53,,,,,,,,,,,,,,
Strychnos sandwithiana,,,,,,,,,,,,,,,,,,,,
Strychnos toxifera,woody,5,tendrils,5,fleshy,5,,,50.05,5,,,,,,,,,,
Strychnos vanprukii,,,,,,,,,,,,,,,,,,,,
Strychnos wallichiana,woody,9,tendrils,9,drupe,9,,,30.80,9,,,,,,,,,,
Styzophyllum riparium,,,,,,,,,,,,,,,,,,,,
Tacazzea apiculata,,,twiner,72,wind,72,,,,,9.22,53,,,,,,,,
Tacazzea conferta,,,twiner,72,wind,72,,,,,,,,,,,,,,
Tanaecium pyramidatum,woody,5,tendrils,5,wind,"53,57",,,73.64,3,,,,,,,,,,
Tanaecium selloi,,,,,wind,87,,,,,,,,,,,,,,
Tanaecium tetragonolobum,woody,5,tendrils,5,wing,43,,,56.56,3,72.09,100,,,,,,,,
Tassadia martiana,,,,,coma,86,,,,,,,,,,,,,,
Tassadia propinqua,,,,,coma,86,,,,,,,,,,,,,,
Tassadia trailiana,,,,,coma,86,,,,,,,,,,,,,,
Telitoxicum krukovii,,,,,drupe,74,,,,,,,,,,,,,,
Telitoxicum minutifolium,,,,,drupe,74,,,,,,,,,,,,,,
Telitoxicum peruvianum,,,,,drupe,74,,,,,,,,,,,,,,
Telosma africana,,,,,coma,86,,,,,,,,,,,,,,
Teramnus uncinatus,,,,,,,,,,,4.35,53,,,,,,,,
Tetracera akara,,,,,,,,,,,,,,,,,,,,
Tetracera alnifolia,woody,83,twiner,83,aril,83,,,84.00,83,50.96,100,,,,,,,,
Tetracera daemeliana,woody,27,twiner,27,aril,27,,,78.66,27,,,,,,,,,,
Tetracera hydrophila,woody,5,twiner,5,fleshy,5,,,53.56,"3,33,57",,,,,,,,,,
Tetracera korthalsii,,,,,,,,,,,,,,,,,,,,
Tetracera nordtiana,woody,27,twiner,27,aril,27,,,52.33,27,,,,,,,,,,
Tetracera oblongata,,,,,,,,,,,,,,,,,,,,
Tetracera parviflora,,,,,,,,,,,,,,,,,,,,
Tetracera portobellensis,woody,5,scrambler,5,aril,5,,,37.63,3,14.00,53,,,,,,,,
Tetracera sarmentosa,,,,,animal,53,,,,,,,,,,,,,,
Tetracera stuhlmanniana,,,,,,,,,,,,,,,,,,,,
Tetracera volubilis,woody,5,twiner,5,aril,43,,,47.93,3,16.73,100,,,,,,,,
Tetracera willdenowiana,,,,,,,12.13515909,57,,,,,,,,,,,,
Tetracera alnifolia,,,,,,,,,,,,,,,,,,,,
Tetrapteris seemannii,woody,5,scrambler,5,samara,5,,,27.56,5,,,,,,,,,,
Tetrapterys chamaecerasifolia,,,,,,,,,,,,,,,,,,,,
Tetrapterys chloroptera,,,,,,,,,,,,,,,,,,,,
Tetrapterys discolor,woody,5,scrambler,5,wind,53,,,31.95,3,,,,,,,,,,
Tetrapterys mucronata,,,,,wind,53,,,,,,,,,,,,,,
Tetrapterys phlomoides,,,,,,,,,,,,,,,,,,,,
Tetrapterys ramiflora,,,,,,,,,,,,,,,,,,,,
Tetrapterys schiedeana,,,,,,,,,,,,,,,,,,,,
Tetrapterys tinifolia,,,,,,,,,,,,,,,,,,,,
Tetrapterys xylosteifolia,,,,,,,,,,,,,,,,,,,,
Tetrapterys tinifolia,,,,,,,,,,,,,,,,,,,,
Tetrastigma campylocarpum,woody,9,tendrils,9,berry,9,,,54.34,9,,,,,,,,,,
Tetrastigma cruciatum,woody,9,tendrils,9,berry,9,,,32.16,9,,,,,,,,,,
Tetrastigma leucostaphylum,,,,,fleshy,86,,,,,,,,,,,,,,
Tetrastigma nitens,woody,15,tendrils,15,berry,15,22.29,15,22.30,15,58.83,53,,,,,,,,
Tetrastigma obtectum,woody,9,tendrils,9,berry,9,,,2.19,9,,,,,,,,,,
Tetrastigma planicaule,woody,9,tendrils,9,berry,9,,,36.58,9,,,,,,,,,,
Tetrastigma rupestre,,,,,fleshy,86,,,,,,,,,,,,,,
Thinouia mucronata,,,,,,,,,,,,,,,,,,,,
Thinouia myriantha,woody,5,tendrils,5,wind,53,,,31.53,3,,,,,,,,,,
Tilesia baccata,,,,,,,,,,,,,,,,,,,,
Tiliacora acuminata,woody,12,scrambler,12,drupe,12,,,24.11,12,,,,,,,,,,
Tiliacora funifera,woody,21,twiner,21,drupe,21,,,56.88,21,,,,,,,,,,
Tiliacora troupinii,,,,,drupe,74,,,,,,,,,,,,,,
Tinospora caffra,woody,83,twiner,36,drupe,36,,,40.43,36,96.01,53,,,,,,,,
Tinospora cordifolia,,,twiner,75,drupe,74,,,,,,,,,,,,,,
Toddalia asiatica,woody,9,hooks,83,animal,72,,,11.38,9,22.04,53,,,,,,,,
Tontelea nectandrifolia,woody,43,,,mammal,43,,,,,,,,,,,,,,
Tontelea ovalifolia,,,,,,,8.575755441,57,70.91,57,,,,,,,,,,
Tournefortia bicolor,woody,5,scrambler,5,fleshy,5,,,32.86,3,9.68,100,,,,,,,,
Tournefortia paniculata,,,,,,,,,,,,,,,,,,,,
Tournefortia rubicunda,,,,,,,,,,,,,,,,,,,,
Tournefortia sarmentosa,woody,27,twiner,"9,27",,,,,31.16,"9,27",,,,,,,,,,
Tournefortia villosa,,,,,,,,,,,,,,,,,,,,
Tournefortia paniculata,,,,,,,,,,,,,,,,,,,,
Toxicodendron radicans,,,,,animal,53,17.50320878,57,32.97,57,14.90,53,,,,,,,,
Trachelospermum asiaticum,woody,9,twiner,81,coma,9,,,15.80,"9,81",53.96,100,,,,,,,,
Tragia brevipes,woody,36,twiner,36,wind,72,,,24.50,36,29.67,100,,,,,,,,
Tragia volubilis,,,,,,,,,,,,,,,,,,,,
Trichosanthes anaimalaiensis,,,tendrils,86,,,,,,,,,,,,,,,,
Trichosanthes cucumerina,,,tendrils,"12,27",drupe,27,,,108.58,"12,27,81",64.00,53,,,,,,,,
Trichosanthes miyagii,,,tendrils,86,,,,,,,,,,,,,,,,
Trichostigma octandrum,,,,,animal,53,22.908115,57,22.64,57,38.00,53,,,,,,,,
Trichostigma polyandrum,herbaceous,1,scrambler,1,,,,,36.23,1,,,,,,,,,,
Triclisia patens,woody,36,twiner,36,drupe,36,,,68.60,36,,,,,,,,,,
Triclisia subcordata,,,,,drupe,74,,,,,,,,,,,,,,
Trigonia boliviana,,,,,,,,,,,,,,,,,,,,
Trigonia nivea,,,,,,,,,,,,,,,,,,,,
Trigonia rugosa,,,,,,,,,,,,,,,,,,,,
Trigonia villosa,,,,,,,,,,,,,,,,,,,,
Trixis antimenorrhoea,,,,,,,,,,,,,,,,,,,,
Trixis divaricata,,,,,,,,,,,,,,,,,,,,
Tuxtla pittieri,,,,,wind,53,,,,,,,,,,,,,,
Tylophora benthamii,woody,15,twiner,27,coma,27,25.31,15,47.50,15,,,,,,,,,,
Tylophora indica,,,twiner,76,wind,76,,,,,,,,,,,,,,
Tylophora sylvatica,,,twiner,72,wind,72,,,,,,,,,,,,,,
Tynanthus cognatus,,,,,wind,87,,,,,,,,,,,,,,
Tynanthus elegans,,,,,wind,87,,,,,,,,,,,,,,
Tynanthus fasciculatus,,,,,wind,87,,,,,,,,,,,,,,
Tynanthus labiatus,,,,,wind,87,,,,,,,,,,,,,,
Tynanthus micranthus,,,,,wind,87,,,,,,,,,,,,,,
Tynnanthus cognatus,,,,,wind,87,,,,,,,,,,,,,,
Tynnanthus croatianus,woody,5,tendrils,5,wing,43,11.829122,57,32.45,"5,57",,,,,,,,,,
Tynnanthus fasciculatus,,,,,wind,87,,,,,,,,,,,,,,
Tynnanthus micranthus,,,,,wind,87,,,,,,,,,,,,,,
Tynnanthus pubescens,,,,,wind,87,,,,,,,,,,,,,,
Uncaria africana,,,hooks,72,animal,72,,,,,,,,,,,,,,
Uncaria guianensis,,,,,,,,,,,,,,,,,,,,
Uncaria lanosa,woody,27,twiner,27,wing,27,,,35.00,27,0.06,100,,,,,,,,
Uncaria longiflora,,,,,,,,,,,,,,,,,,,,
Uncaria perrottetii,,,,,,,,,,,,,,,,,,,,
Uncaria rhynchophylla,,,,,,,,,,,,,,,,,,,,
Uncaria tomentosa,woody,5,spines,5,wing,5,,,30.06,3,,,,,,,,,,
Urceola micrantha,woody,9,scrambler,81,coma,81,,,25.56,"9, 81",48.54,100,,,,,,,,
Urceola rosea,woody,10,scrambler,10,coma,10,,,86.18,"10,81",49.19,100,,,,,,,,
Urera caracasana,,,,,animal,53,16.80949275,57,134.55,57,,,,,,,,,,
Urera hypselodendron,woody,36,roots,36,fleshy,36,,,83.13,36,0.13,53,,,,,,,,
Urera repens,,,,,,,,,,,,,,,,,,,,
Urera trinervis,woody,36,roots,36,fleshy,36,,,32.20,83,,,,,,,,,,
Urvillea laevis,,,,,,,,,,,,,,,,,,,,
Urvillea ulmacea,,,,,,,,,,,8.81,53,,,,,,,,
Urvillea uniloba,,,,,,,,,,,,,,,,,,,,
Uvaria afzelii,,,,,fleshy,86,,,,,,,,,,,,,,
Uvaria angolensis,woody,21,scrambler,21,aril,21,,,23.80,21,81.28,100,,,,,,,,
Uvaria macclurei,,,,,fleshy,86,,,,,,,,,,,,,,
Uvaria macrophylla,,,,,fleshy,86,,,,,,,,,,,,,,
Uvaria narum,,,,,fleshy,86,,,,,,,,,,,,,,
Uvaria schweinfurthii,woody,21,scrambler,21,animal,72,,,19.34,21,48.06,100,,,,,,,,
Uvaria welwitschii,woody,21,scrambler,21,fleshy,86,,,28.00,21,26.64,100,,,,,,,,
Vanilla angustipetala,,,,,,,,,,,,,,,,,,,,
Ventilago africana,,,,,,,,,,,,,,,,,,,,
Ventilago bombaiensis,,,,,,,,,,,,,,,,,,,,
Ventilago dichotoma,,,,,,,,,,,,,,,,,,,,
Ventilago diffusa,,,twiner,72,animal,72,,,,,,,,,,,,,,
Ventilago ecorollata,,,,,,,,,6.30,27,,,,,,,,,,
Ventilago inaequilateralis,woody,9,scrambler,9,drupe,9,,,36.23,9,,,,,,,,,,
Ventilago madraspatana,woody,9,twiner,75,wind,75,,,28.88,9,,,,,,,,,,
Ventilago denticulata,woody,9,scrambler,9,drupe,9,,,28.35,9,,,,,,,,,,
Vernonanthura crassa,,,,,,,,,,,,,,,,,,,,
Vernonanthura diffusa,,,,,,,,,,,,,,,,,,,,
Vernonia biafrae,woody,83,twiner,72,wind,72,,,22.05,83,,,,,,,,,,
Vernonia wollastonii,,,twiner,72,wind,72,,,,,0.86,53,,,,,,,,
Vigna candida,,,,,,,,,,,,,,,,,,,,
Vigna caracalla,,,,,,,,,,,,,,,,,,,,
Vigna peduncularis,,,,,,,,,,,,,,,,,,,,
Vigna speciosa,,,,,,,,,,,,,,,,,,,,
Vincetoxicum barbatum,herbaceous,28,twiner,28,coma,28,22.4670641,57,7.85,"15,19,57",10.16,50,,,,,,,,
Vitex negundo,woody,21,scrambler,21,animal,21,,,16.63,9,22.20,53,,,,,,,,
Vitis aestivalis,,,,,fleshy,86,,,79.30,42,36.22,53,,,,,,,,
Vitis californica,,,,,fleshy,86,,,,,39.96,53,,,,,,,,
Vitis cinerea,,,,,fleshy,86,,,,,,,,,,,,,,
Vitis labrusca,,,,,fleshy,86,,,,,39.35,53,,,,,,,,
Vitis rotundifolia,,,,,fleshy,86,,,18.89,39,,,,,,,,,,
Vitis tiliifolia,,43,,,animal,53,14.592721,57,56.12,57,,,,,,,,,,
Vitis vulpina,,,,,fleshy,86,41.21754217,57,46.33,57,25.70,53,,,,,,,,
Wilbrandia ebracteata,,,tendrils,86,,,,,,,,,,,,,,,,
Wilbrandia hibiscoides,,,tendrils,86,,,,,,,,,,,,,,,,
Wilbrandia longibracteata,,,tendrils,86,,,,,,,,,,,,,,,,
Wilbrandia verticillata,,,tendrils,86,,,,,,,,,,,,,,,,
Willughbeia coriacea,,,tendrils,81,berry,81,,,,,220.00,53,,,,,,,,
Willughbeia sarawacensis,,,tendrils,81,berry,81,,,,,,,,,,,,,,
Wisteria floribunda,,,,,gravity,78,,,,,37.80,53,,,,,,,,
Xylophragma pratense,,,,,wind,87,,,,,,,,,,,,,,
Xylophragma seemannianum,woody,5,tendrils,5,wing,5,,,62.18,3,,,,,,,,,,
Zanthoxylum ovalifolium,,,,,,,,,,,,,,,,,,,,
Zanthoxylum scandens,,,,,,,,,,,,,,,,,,,,
Zanthoxylum tetraspermum,,,,,,,,,,,,,,,,,,,,
Zanthoxylum oxyphyllum,,,hooks,77,animal,77,,,,,,,,,,,,,,
Zehneria minutiflora,,,tendrils,21,red,21,,,14.00,21,6.62,100,,,,,,,,
Ziziphus attopensis,woody,9,scrambler,9,drupe,9,,,40.25,9,1.49,100,,,,,,,,
Ziziphus crebrivenosa,,,,,drupe,63,,,,,,,,,,,,,,
Ziziphus oenopolia,woody,27,scrambler,"9,27",drupe,27,,,11.55,"9,27",,,,,,,,,,
Ziziphus rugosa,woody,9,scrambler,9,drupe,9,,,46.55,9,96.26,100,,,,,,,,
