taxon_name,trait_name,entity_measured,trait_value,units,value_type
Platanus x hispanica cv. Acerifolia,fruit_length,achene,7,mm,minimum
Platanus x hispanica cv. Acerifolia,fruit_length,achene,9,mm,maximum
Platylobium montanum subsp. montanum,fruit_length,pod,15,mm,minimum
Platylobium montanum subsp. montanum,fruit_length,pod,40,mm,maximum
Platylobium parviflorum,fruit_length,pod,15,mm,minimum
Platylobium parviflorum,fruit_length,pod,30,mm,maximum
Platysace clelandii,fruit_length,fruit,1.5,mm,maximum
Platysace ericoides,fruit_length,fruit,1.5,mm,minimum
Platysace ericoides,fruit_length,fruit,2.3,mm,maximum
Platysace heterophylla var. heterophylla,fruit_length,fruit,1.2,mm,minimum
Platysace heterophylla var. heterophylla,fruit_length,fruit,1.8,mm,maximum
Platysace lanceolata,fruit_length,fruit,1.5,mm,minimum
Platysace lanceolata,fruit_length,fruit,2,mm,maximum
Platysace linearifolia,fruit_length,fruit,2,mm,maximum
Platysace stephensonii,fruit_length,fruit,1.7,mm,minimum
Platysace stephensonii,fruit_length,fruit,2,mm,maximum
Polyscias cissodendron,fruit_length,fruit,3.5,mm,minimum
Polyscias cissodendron,fruit_length,fruit,4.5,mm,maximum
Polyscias elegans,fruit_length,fruit,5,mm,minimum
Polyscias elegans,fruit_length,fruit,6,mm,maximum
Polyscias murrayi,fruit_length,fruit,4,mm,maximum
Polyscias sambucifolia,fruit_length,fruit,4,mm,maximum
Polyscias sambucifolia subsp. Long leaflets (P.G.Neish 208) Vic. Herbarium,fruit_length,fruit,4,mm,maximum
Pothos longipes,fruit_length,fruit,8,mm,minimum
Pothos longipes,fruit_length,fruit,13,mm,maximum
Proiphys cunninghamii,fruit_length,fruit,10,mm,minimum
Proiphys cunninghamii,fruit_length,fruit,20,mm,maximum
Pseuderanthemum variabile,fruit_length,capsule,10,mm,minimum
Pseuderanthemum variabile,fruit_length,capsule,15,mm,maximum
Psilocaulon granulicaule,fruit_length,capsule,2,mm,minimum
Psilocaulon granulicaule,fruit_length,capsule,4,mm,maximum
Pultenaea aculeata,fruit_length,pod,5,mm,minimum
Pultenaea aculeata,fruit_length,pod,6,mm,maximum
Pultenaea cunninghamii,fruit_length,pod,6,mm,minimum
Pultenaea cunninghamii,fruit_length,pod,7,mm,maximum
Pultenaea forsythiana,fruit_length,pod,6,mm,minimum
Pultenaea forsythiana,fruit_length,pod,8,mm,maximum
Pultenaea mutabilis,fruit_length,pod,5,mm,maximum
Pultenaea mutabilis var. angusta,fruit_length,pod,5,mm,maximum
Pultenaea mutabilis var. mutabilis,fruit_length,pod,5,mm,maximum
Pultenaea subternata,fruit_length,pod,6,mm,maximum
Pultenaea williamsii,fruit_length,pod,8,mm,minimum
Pultenaea williamsii,fruit_length,pod,8.6,mm,maximum
Rhaphidospora bonneyana,fruit_length,capsule,15,mm,maximum
Rhodosphaera rhodanthema,fruit_length,drupe,8,mm,minimum
Rhodosphaera rhodanthema,fruit_length,drupe,11,mm,maximum
Rostellularia adscendens,fruit_length,capsule,5,mm,minimum
Rostellularia adscendens,fruit_length,capsule,7,mm,maximum
Rostellularia adscendens var. adscendens,fruit_length,capsule,6,mm,minimum
Rostellularia adscendens var. adscendens,fruit_length,capsule,7.5,mm,maximum
Rostellularia adscendens var. latifolia,fruit_length,capsule,4.5,mm,minimum
Rostellularia adscendens var. latifolia,fruit_length,capsule,6,mm,maximum
Rostellularia obtusa,fruit_length,capsule,4.5,mm,minimum
Rostellularia obtusa,fruit_length,capsule,6.5,mm,maximum
Ruellia simplex,fruit_length,capsule,2,cm,minimum
Ruellia simplex,fruit_length,capsule,3,cm,maximum
Ruellia squarrosa,fruit_length,capsule,12,mm,minimum
Ruellia squarrosa,fruit_length,capsule,15,mm,maximum
Rutidosis murchisonii,fruit_length,achene,1,mm,maximum
Sambucus gaudichaudiana,fruit_length,fruit,5,mm,maximum
Sambucus nigra,fruit_length,fruit,5,mm,maximum
Saururus cernuus,fruit_length,schizocarp,1.5,mm,minimum
Saururus cernuus,fruit_length,schizocarp,3,mm,maximum
Scandix pecten-veneris,fruit_length,fruit,3,cm,minimum
Scandix pecten-veneris,fruit_length,fruit,8,cm,maximum
Schefflera actinophylla,fruit_length,drupe,3,mm,minimum
Schefflera actinophylla,fruit_length,drupe,5,mm,maximum
Schinus molle var. areira,fruit_length,drupe,4,mm,minimum
Schinus molle var. areira,fruit_length,drupe,6,mm,maximum
Schinus terebinthifolia,fruit_length,drupe,4,mm,minimum
Schinus terebinthifolia,fruit_length,drupe,5,mm,maximum
Schizeilema fragoseum,fruit_length,fruit,2,mm,minimum
Schizeilema fragoseum,fruit_length,fruit,3,mm,maximum
Secamone elliptica,fruit_length,follicle,3.5,cm,minimum
Secamone elliptica,fruit_length,follicle,6.5,cm,maximum
Sesuvium portulacastrum,fruit_length,capsule,8,mm,maximum
Siloxerus multiflorus,fruit_length,achene,1,mm,maximum
Stephanophysum longifolium,fruit_length,capsule,13,mm,minimum
Stephanophysum longifolium,fruit_length,capsule,14,mm,maximum
Strobilanthes anisophylla,fruit_length,capsule,7,mm,minimum
Strobilanthes anisophylla,fruit_length,capsule,10,mm,maximum
Tabernaemontana pandacaqui,fruit_length,follicle,1,cm,minimum
Tabernaemontana pandacaqui,fruit_length,follicle,4,cm,maximum
Tetragonia decumbens,fruit_length,fruit,5,mm,minimum
Tetragonia decumbens,fruit_length,fruit,15,mm,maximum
Tetragonia eremaea,fruit_length,fruit,4,mm,minimum
Tetragonia eremaea,fruit_length,fruit,6,mm,maximum
Tetragonia microptera,fruit_length,fruit,2,mm,minimum
Tetragonia microptera,fruit_length,fruit,4,mm,maximum
Torilis nodosa,fruit_length,fruit,2.5,mm,minimum
Torilis nodosa,fruit_length,fruit,4,mm,maximum
Trachymene composita,fruit_length,mericarp,1,mm,minimum
Trachymene composita,fruit_length,mericarp,2,mm,maximum
Trachymene composita,fruit_length,fruit,2.5,mm,minimum
Trachymene composita,fruit_length,fruit,4,mm,maximum
Trachymene composita var. composita,fruit_length,mericarp,1,mm,minimum
Trachymene composita var. composita,fruit_length,mericarp,2,mm,maximum
Trachymene composita var. composita,fruit_length,fruit,2.5,mm,minimum
Trachymene composita var. composita,fruit_length,fruit,4,mm,maximum
Trachymene composita var. robertsonii,fruit_length,mericarp,1,mm,minimum
Trachymene composita var. robertsonii,fruit_length,mericarp,2,mm,maximum
Trachymene composita var. robertsonii,fruit_length,fruit,2.5,mm,minimum
Trachymene composita var. robertsonii,fruit_length,fruit,4,mm,maximum
Trachymene cyanopetala,fruit_length,mericarp,1.7,mm,minimum
Trachymene cyanopetala,fruit_length,mericarp,2.6,mm,maximum
Trachymene cyanopetala,fruit_length,fruit,2,mm,minimum
Trachymene cyanopetala,fruit_length,fruit,6,mm,maximum
Trachymene glaucifolia,fruit_length,mericarp,2.5,mm,minimum
Trachymene glaucifolia,fruit_length,mericarp,3,mm,maximum
Trachymene glaucifolia,fruit_length,fruit,4.5,mm,minimum
Trachymene glaucifolia,fruit_length,fruit,5.5,mm,maximum
Trachymene humilis,fruit_length,fruit,2.5,mm,minimum
Trachymene humilis,fruit_length,fruit,6,mm,maximum
Trachymene humilis subsp. humilis,fruit_length,mericarp,0.5,mm,minimum
Trachymene humilis subsp. humilis,fruit_length,mericarp,1,mm,maximum
Trachymene humilis subsp. humilis,fruit_length,fruit,2,mm,minimum
Trachymene humilis subsp. humilis,fruit_length,fruit,3.5,mm,maximum
Trachymene incisa,fruit_length,mericarp,1.2,mm,minimum
Trachymene incisa,fruit_length,mericarp,2.1,mm,maximum
Trachymene incisa,fruit_length,fruit,2.4,mm,minimum
Trachymene incisa,fruit_length,fruit,3.6,mm,maximum
Trachymene ochracea,fruit_length,mericarp,0.6,mm,minimum
Trachymene ochracea,fruit_length,mericarp,1,mm,maximum
Trachymene ochracea,fruit_length,fruit,2,mm,minimum
Trachymene ochracea,fruit_length,fruit,2.5,mm,maximum
Trachymene ornata,fruit_length,mericarp,1.7,mm,minimum
Trachymene ornata,fruit_length,mericarp,2.7,mm,maximum
Trachymene ornata,fruit_length,fruit,3.5,mm,minimum
Trachymene ornata,fruit_length,fruit,5.7,mm,maximum
Trachymene procumbens,fruit_length,mericarp,0.7,mm,minimum
Trachymene procumbens,fruit_length,mericarp,1.4,mm,maximum
Trachymene procumbens,fruit_length,fruit,2.1,mm,minimum
Trachymene procumbens,fruit_length,fruit,2.9,mm,maximum
Trachymene scapigera,fruit_length,mericarp,0.6,mm,minimum
Trachymene scapigera,fruit_length,mericarp,0.8,mm,maximum
Trachymene scapigera,fruit_length,fruit,3,mm,minimum
Trachymene scapigera,fruit_length,fruit,5,mm,maximum
Trachymene thysanocarpa,fruit_length,fruit,4.5,mm,minimum
Trachymene thysanocarpa,fruit_length,fruit,5.5,mm,maximum
Trianthema portulacastrum,fruit_length,fruit,2,mm,minimum
Trianthema portulacastrum,fruit_length,fruit,3,mm,maximum
Triglochin isingiana,fruit_length,fruit,5,mm,minimum
Triglochin isingiana,fruit_length,fruit,6,mm,maximum
Tylophora barbata,fruit_length,follicle,5,cm,minimum
Tylophora barbata,fruit_length,follicle,7,cm,maximum
Tylophora benthamii,fruit_length,follicle,7,cm,minimum
Tylophora benthamii,fruit_length,follicle,12,cm,maximum
Tylophora biglandulosa,fruit_length,follicle,10,cm,maximum
Tylophora grandiflora,fruit_length,follicle,7,cm,minimum
Tylophora grandiflora,fruit_length,follicle,10,cm,maximum
Tylophora linearis,fruit_length,follicle,95,mm,minimum
Tylophora linearis,fruit_length,follicle,100,mm,maximum
Tylophora paniculata,fruit_length,follicle,6,cm,minimum
Tylophora paniculata,fruit_length,follicle,11,cm,maximum
Tylophora woollsii,fruit_length,follicle,5,cm,minimum
Tylophora woollsii,fruit_length,follicle,8,cm,maximum
Ulmus x hollandica,fruit_length,samara,10,mm,minimum
Ulmus x hollandica,fruit_length,samara,20,mm,maximum
Viburnum odoratissimum,fruit_length,drupe,8,mm,maximum
Viburnum suspensum,fruit_length,drupe,6,mm,minimum
Viburnum suspensum,fruit_length,drupe,8,mm,maximum
Viburnum tinus,fruit_length,drupe,5,mm,minimum
Viburnum tinus,fruit_length,drupe,10,mm,maximum
Vinca major,fruit_length,follicle,5,cm,maximum
Washingtonia robusta,fruit_length,fruit,7.5,mm,minimum
Washingtonia robusta,fruit_length,fruit,10,mm,maximum
Wollemia nobilis,fruit_length,female cone,5,cm,minimum
Wollemia nobilis,fruit_length,female cone,8,cm,maximum
Wollemia nobilis,fruit_length,male_cone,10.9,cm,maximum
Xanthosia atkinsoniana,fruit_length,fruit,1.8,mm,minimum
Xanthosia atkinsoniana,fruit_length,fruit,2.7,mm,maximum
Xanthosia dissecta,fruit_length,fruit,1.7,mm,minimum
Xanthosia dissecta,fruit_length,fruit,2.1,mm,maximum
Xanthosia pilosa,fruit_length,fruit,2,mm,minimum
Xanthosia pilosa,fruit_length,fruit,2.9,mm,maximum
Xanthosia scopulicola,fruit_length,fruit,2,mm,maximum
Xanthosia stellata,fruit_length,fruit,3,mm,minimum
Xanthosia stellata,fruit_length,fruit,3.2,mm,maximum
Xanthosia tasmanica,fruit_length,fruit,2,mm,minimum
Xanthosia tasmanica,fruit_length,fruit,2.2,mm,maximum
Xanthosia ternifolia,fruit_length,fruit,2.1,mm,minimum
Xanthosia ternifolia,fruit_length,fruit,2.8,mm,maximum
Xanthosia tridentata,fruit_length,fruit,3,mm,minimum
Xanthosia tridentata,fruit_length,fruit,3.5,mm,maximum
Xerothamnella parvifolia,fruit_length,capsule,7,mm,minimum
Xerothamnella parvifolia,fruit_length,capsule,8,mm,maximum
Yucca aloifolia,fruit_length,capsule,6,cm,minimum
Yucca aloifolia,fruit_length,capsule,8,cm,maximum
Zaleya galericulata,fruit_length,capsule,5,mm,maximum
Zaleya galericulata subsp. galericulata,fruit_length,capsule,5,mm,maximum
Zantedeschia aethiopica,fruit_length,fruit,5,mm,minimum
Zantedeschia aethiopica,fruit_length,fruit,10,mm,maximum
Aciphylla glacialis,fruit_width,fruit,2,mm,minimum
Aciphylla glacialis,fruit_width,fruit,2.8,mm,maximum
Aciphylla simplicifolia,fruit_width,fruit,3,mm,maximum
Actinotus forsythii,fruit_width,fruit,1.1,mm,minimum
Actinotus forsythii,fruit_width,fruit,1.2,mm,maximum
Actinotus gibbonsii,fruit_width,fruit,0.6,mm,minimum
Actinotus gibbonsii,fruit_width,fruit,1.4,mm,maximum
Actinotus helianthi,fruit_width,fruit,1.8,mm,minimum
Actinotus helianthi,fruit_width,fruit,2.8,mm,maximum
Actinotus minor,fruit_width,fruit,0.8,mm,minimum
Actinotus minor,fruit_width,fruit,1.3,mm,maximum
Actinotus paddisonii,fruit_width,fruit,1.5,mm,minimum
Actinotus paddisonii,fruit_width,fruit,2.2,mm,maximum
Aggreflorum benwellii,fruit_width,fruit,4,mm,minimum
Aggreflorum benwellii,fruit_width,fruit,4.7,mm,maximum
Aggreflorum ellipticum,fruit_width,fruit,3,mm,minimum
Aggreflorum ellipticum,fruit_width,fruit,4,mm,maximum
Albuca bracteata,fruit_width,capsule,10,mm,maximum
Aloe arborescens,fruit_width,capsule,1.5,mm,minimum
Aloe arborescens,fruit_width,capsule,4,mm,maximum
Aloe maculata,fruit_width,capsule,8,mm,minimum
Aloe maculata,fruit_width,capsule,16,mm,maximum
Alstonia constricta,fruit_width,follicle,10,mm,maximum
Alstroemeria psittacina,fruit_width,capsule,10,mm,minimum
Alstroemeria psittacina,fruit_width,capsule,15,mm,maximum
Amaryllis belladonna,fruit_width,capsule,10,mm,minimum
Amaryllis belladonna,fruit_width,capsule,20,mm,maximum
Anethum graveolens,fruit_width,fruit,2,mm,minimum
Anethum graveolens,fruit_width,fruit,2.5,mm,maximum
Apium prostratum,fruit_width,fruit,1.3,mm,minimum
Apium prostratum,fruit_width,fruit,2.5,mm,maximum
Apium prostratum subsp. howense,fruit_width,fruit,2,mm,maximum
Apium prostratum var. prostratum,fruit_width,fruit,1.3,mm,minimum
Apium prostratum var. prostratum,fruit_width,fruit,2.5,mm,maximum
Aponogeton queenslandicus,fruit_width,fruit,2.3,mm,minimum
Aponogeton queenslandicus,fruit_width,fruit,3,mm,maximum
Aptenia cordifolia,fruit_width,capsule,4,mm,minimum
Aptenia cordifolia,fruit_width,capsule,9,mm,maximum
Araucaria heterophylla,fruit_width,male_cone,1,cm,minimum
Araucaria heterophylla,fruit_width,male_cone,1.3,cm,maximum
Araucaria heterophylla,fruit_width,female_cone,8,cm,minimum
Araucaria heterophylla,fruit_width,female_cone,10,cm,maximum
Araujia sericifera,fruit_width,follicle,5,cm,minimum
Araujia sericifera,fruit_width,follicle,7,cm,maximum
Archontophoenix cunninghamiana,fruit_width,fruit,13,mm,minimum
Archontophoenix cunninghamiana,fruit_width,fruit,15,mm,maximum
Aristolochia meridionalis,fruit_width,fruit,1,cm,minimum
Aristolochia meridionalis,fruit_width,fruit,1.6,cm,maximum
Aristolochia meridionalis subsp. meridionalis,fruit_width,fruit,1,cm,minimum
Aristolochia meridionalis subsp. meridionalis,fruit_width,fruit,1.6,cm,maximum
Arthropodium milleflorum,fruit_width,capsule,4,mm,minimum
Arthropodium milleflorum,fruit_width,capsule,5,mm,maximum
Arthropodium sp. Albury (A.D.J.Piesse 9),fruit_width,capsule,4,mm,minimum
Arthropodium sp. Albury (A.D.J.Piesse 9),fruit_width,capsule,8,mm,maximum
Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195),fruit_width,capsule,5,mm,minimum
Arthropodium sp. Snowy R. catchment (N.G.Walsh 6195),fruit_width,capsule,7,mm,maximum
Arthropodium sp. South-east Highlands (N.G.Walsh 811),fruit_width,capsule,4,mm,minimum
Arthropodium sp. South-east Highlands (N.G.Walsh 811),fruit_width,capsule,5,mm,maximum
Arthropodium strictum,fruit_width,capsule,4,mm,minimum
Arthropodium strictum,fruit_width,capsule,8,mm,maximum
Asparagus aethiopicus,fruit_width,berry,5,mm,minimum
Asparagus aethiopicus,fruit_width,berry,8,mm,maximum
Asparagus africanus,fruit_width,berry,5,mm,minimum
Asparagus africanus,fruit_width,berry,6,mm,maximum
Asparagus asparagoides,fruit_width,berry,5,mm,minimum
Asparagus asparagoides,fruit_width,berry,19,mm,maximum
Asparagus macowanii,fruit_width,berry,7,mm,minimum
Asparagus macowanii,fruit_width,berry,10,mm,maximum
Asparagus officinalis,fruit_width,berry,5,mm,minimum
Asparagus officinalis,fruit_width,berry,10,mm,maximum
Asparagus plumosus,fruit_width,berry,4,mm,minimum
Asparagus plumosus,fruit_width,berry,5,mm,maximum
Asparagus scandens,fruit_width,berry,5,mm,minimum
Asparagus scandens,fruit_width,berry,7,mm,maximum
Asparagus virgatus,fruit_width,berry,4,mm,minimum
Asparagus virgatus,fruit_width,berry,6,mm,maximum
Asphodelus fistulosus,fruit_width,capsule,4,mm,minimum
Asphodelus fistulosus,fruit_width,capsule,6,mm,maximum
Astrotricha sp. Wallagaraugh (R.O.Makinson 1228),fruit_width,schizocarp,3,mm,maximum
Astrotricha umbrosa,fruit_width,schizocarp,3.9,mm,minimum
Astrotricha umbrosa,fruit_width,schizocarp,4.3,mm,maximum
Avicennia marina,fruit_width,capsule,20,mm,minimum
Avicennia marina,fruit_width,capsule,30,mm,maximum
Avicennia marina subsp. australasica,fruit_width,capsule,20,mm,minimum
Avicennia marina subsp. australasica,fruit_width,capsule,30,mm,maximum
Bulbostylis humilis,fruit_width,nut,0.9,mm,minimum
Bulbostylis humilis,fruit_width,nut,1,mm,maximum
Bupleurum lancifolium,fruit_width,fruit,3,mm,minimum
Bupleurum lancifolium,fruit_width,fruit,5,mm,maximum
Calostemma purpureum,fruit_width,capsule,6,mm,minimum
Calostemma purpureum,fruit_width,capsule,14,mm,maximum
Capparis canescens,fruit_width,fruit,2.5,cm,minimum
Capparis canescens,fruit_width,fruit,7.5,cm,maximum
Carpobrotus aequilaterus,fruit_width,fruit,14,mm,minimum
Carpobrotus aequilaterus,fruit_width,fruit,25,mm,maximum
Carpobrotus edulis,fruit_width,fruit,2.5,cm,minimum
Carpobrotus edulis,fruit_width,fruit,3,cm,maximum
Carpobrotus glaucescens,fruit_width,fruit,1.6,cm,minimum
Carpobrotus glaucescens,fruit_width,fruit,2.4,cm,maximum
Cascabela thevetia,fruit_width,drupe,25,mm,minimum
Cascabela thevetia,fruit_width,drupe,33,mm,maximum
Celtis conferta subsp. amblyphylla,fruit_width,drupe,6,mm,minimum
Celtis conferta subsp. amblyphylla,fruit_width,drupe,7,mm,maximum
Centella cordifolia,fruit_width,fruit,4,mm,minimum
Centella cordifolia,fruit_width,fruit,5,mm,maximum
Cleretum papulosum,fruit_width,capsule,5,mm,minimum
Cleretum papulosum,fruit_width,capsule,10,mm,maximum
Conium maculatum,fruit_width,fruit,2.5,mm,minimum
Conium maculatum,fruit_width,fruit,4,mm,maximum
Cordyline congesta,fruit_width,fruit,10,mm,minimum
Cordyline congesta,fruit_width,fruit,15,mm,maximum
Cordyline petiolaris,fruit_width,fruit,0.7,mm,minimum
Cordyline petiolaris,fruit_width,fruit,10,mm,maximum
Cordyline sp. Mt Banda Banda (P.Hind 2232),fruit_width,fruit,6,mm,minimum
Cordyline sp. Mt Banda Banda (P.Hind 2232),fruit_width,fruit,8,mm,maximum
Cordyline stricta,fruit_width,fruit,10,mm,minimum
Cordyline stricta,fruit_width,fruit,15,mm,maximum
Corokia whiteana,fruit_width,drupe,3,mm,minimum
Corokia whiteana,fruit_width,drupe,5,mm,maximum
Damasonium minus,fruit_width,fruit,10,mm,minimum
Damasonium minus,fruit_width,fruit,12,mm,maximum
Deeringia amaranthoides,fruit_width,berry,4,mm,minimum
Deeringia amaranthoides,fruit_width,berry,5,mm,maximum
Dracaena trifasciata,fruit_width,berry,7,mm,minimum
Dracaena trifasciata,fruit_width,berry,9,mm,maximum
Drosanthemum candens,fruit_width,fruit,4,mm,minimum
Drosanthemum candens,fruit_width,fruit,5,mm,maximum
Eustrephus latifolius,fruit_width,capsule,10,mm,minimum
Eustrephus latifolius,fruit_width,capsule,20,mm,maximum
Ficinia marginata,fruit_width,nut,0.5,mm,minimum
Ficinia marginata,fruit_width,nut,0.7,mm,maximum
Fraxinus chinensis,fruit_width,samara,3,mm,minimum
Fraxinus chinensis,fruit_width,samara,7,mm,maximum
Fraxinus chinensis,fruit_width,samara,15,mm,absolute_maximum
Gaudium blakelyi,fruit_width,fruit,2,mm,minimum
Gaudium blakelyi,fruit_width,fruit,3.5,mm,maximum
Gaudium brevipes,fruit_width,fruit,3,mm,minimum
Gaudium brevipes,fruit_width,fruit,4,mm,maximum
Gaudium coriaceum,fruit_width,fruit,5,mm,minimum
Gaudium coriaceum,fruit_width,fruit,8,mm,maximum
Gaudium laevigatum,fruit_width,fruit,7,mm,minimum
Gaudium laevigatum,fruit_width,fruit,8,mm,maximum
Gaudium microcarpum,fruit_width,fruit,3,mm,minimum
Gaudium microcarpum,fruit_width,fruit,4,mm,maximum
Gaudium myrsinoides,fruit_width,fruit,4,mm,minimum
Gaudium myrsinoides,fruit_width,fruit,6,mm,maximum
Gaudium namadgiense,fruit_width,fruit,2,mm,minimum
Gaudium namadgiense,fruit_width,fruit,2.5,mm,maximum
Gaudium semibaccatum,fruit_width,fruit,4,mm,minimum
Gaudium semibaccatum,fruit_width,fruit,6,mm,maximum
Gaudium subglabratum,fruit_width,fruit,4,mm,minimum
Gaudium subglabratum,fruit_width,fruit,7,mm,maximum
Gaudium trinervium,fruit_width,fruit,3,mm,minimum
Gaudium trinervium,fruit_width,fruit,6,mm,maximum
Gingidia rupicola,fruit_width,mericarp,1.8,mm,minimum
Gingidia rupicola,fruit_width,mericarp,2.3,mm,maximum
Gomphocarpus fruticosus,fruit_width,follicle,2,cm,minimum
Gomphocarpus fruticosus,fruit_width,follicle,3.5,cm,maximum
Gomphocarpus physocarpus,fruit_width,follicle,4,cm,minimum
Gomphocarpus physocarpus,fruit_width,follicle,5.5,cm,maximum
Gunniopsis quadrifida,fruit_width,capsule,6,mm,minimum
