Species,Temp,CO2,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),Area (cm2),StmRat,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. sideroxylon,Elv,640,597,30,0.157,838,2.41,1.58,3,0.5,26.88,29.52,26.02,1199.2,1179.46,23.735,25.148,68.18,72.24,499.4,1799
E. sideroxylon,Elv,640,597,30.1,0.157,837,2.41,1.58,3,0.5,26.88,29.51,26.02,1199.21,1179.43,23.735,25.146,68.18,72.23,499.5,1799
E. sideroxylon,Elv,640,597,30,0.158,838,2.42,1.58,3,0.5,26.88,29.52,26.02,1199.19,1179.44,23.725,25.141,68.15,72.22,499.4,1799
E. sideroxylon,Elv,640,597,29.9,0.158,840,2.42,1.58,3,0.5,26.88,29.52,26.02,1199.16,1179.49,23.721,25.141,68.14,72.21,499.4,1799
E. sideroxylon,Elv,640,590,21.2,0.129,336,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.91,623.79,23.993,25.775,55.67,59.8,500.4,1799
E. sideroxylon,Elv,640,590,21.1,0.13,338,2.78,2.18,3.3,0.5,30.5,32.09,30.12,638.89,623.82,23.994,25.78,55.67,59.81,500.4,1799
E. sideroxylon,Elv,640,590,21.1,0.13,338,2.78,2.18,3.3,0.5,30.5,32.09,30.12,638.87,623.81,23.995,25.781,55.68,59.82,500.4,1799
E. sideroxylon,Elv,640,590,21,0.13,340,2.78,2.18,3.3,0.5,30.5,32.09,30.12,638.82,623.82,23.996,25.784,55.68,59.83,500.4,1799
E. sideroxylon,Elv,640,590,20.9,0.129,340,2.78,2.18,3.3,0.5,30.5,32.09,30.12,638.77,623.84,23.999,25.784,55.69,59.83,500.4,1799
E. sideroxylon,Elv,640,590,20.9,0.129,339,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.75,623.8,24.003,25.784,55.7,59.83,500.4,1799
E. sideroxylon,Elv,640,590,21,0.129,339,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.77,623.79,24.005,25.787,55.7,59.83,500.4,1799
E. sideroxylon,Elv,640,590,21,0.129,338,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.77,623.78,24.009,25.787,55.7,59.83,500.4,1799
E. sideroxylon,Elv,640,590,21,0.129,339,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.78,623.79,24.008,25.791,55.7,59.84,500.4,1799
E. sideroxylon,Elv,640,590,21.1,0.129,337,2.77,2.18,3.3,0.5,30.5,32.1,30.12,638.86,623.77,24.012,25.792,55.71,59.84,500.4,1799
E. sideroxylon,Elv,640,590,25.8,0.0948,712,1.48,1.57,3.3,0.5,26.85,29.56,26.02,1199.3,1181.13,24.403,25.353,69.94,72.66,500.4,1799
E. sideroxylon,Elv,640,590,25.8,0.0945,710,1.47,1.57,3.3,0.5,26.85,29.55,26.02,1199.26,1181.08,24.406,25.353,69.95,72.67,500.4,1799
E. sideroxylon,Elv,640,590,25.9,0.0949,711,1.48,1.57,3.3,0.5,26.85,29.56,26.02,1199.26,1181.04,24.405,25.357,69.95,72.68,500.4,1799
E. sideroxylon,Elv,640,590,25.9,0.0938,706,1.46,1.58,3.3,0.5,26.85,29.56,26.02,1199.31,1181.1,24.411,25.353,69.97,72.67,500.4,1799
E. sideroxylon,Elv,640,590,25.7,0.0933,706,1.46,1.58,3.3,0.5,26.85,29.57,26.02,1199.27,1181.17,24.415,25.353,69.98,72.67,500.3,1799
E. sideroxylon,Elv,640,590,25.7,0.0929,704,1.45,1.58,3.3,0.5,26.85,29.57,26.02,1199.29,1181.21,24.418,25.351,69.99,72.66,500.4,1799
E. sideroxylon,Elv,640,590,26.1,0.0943,704,1.47,1.58,3.3,0.5,26.85,29.56,26.02,1199.41,1181.03,24.414,25.361,69.98,72.69,500.3,1799
E. sideroxylon,Elv,640,590,25.7,0.0943,710,1.47,1.58,3.3,0.5,26.85,29.58,26.02,1199.3,1181.17,24.419,25.367,69.99,72.71,500.4,1799
E. sideroxylon,Elv,640,590,25.7,0.0942,711,1.47,1.58,3.3,0.5,26.85,29.57,26.02,1199.27,1181.16,24.422,25.368,70,72.71,500.4,1799
E. sideroxylon,Elv,640,590,25.9,0.0947,709,1.47,1.57,3.3,0.5,26.85,29.55,26.02,1199.37,1181.12,24.425,25.372,70.01,72.73,500.4,1799
