apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Eucalyptus synandra,1.1,2.1,0.6,0.8,0.4,0.6,0.9,1.3,7,7,pink white_cream,YYNNNNNNNNNY,10,17,0.5,1
Eucalyptus talyuberlup,1.9,6.3,0.3,1.3,1.1,2.2,1.3,1.8,7,13,green,NNYNYYYYNNNN,4.5,10.5,0.6,2
Eucalyptus tardecidens,0.4,0.5,0.2,0.3,0.3,0.5,0.3,0.5,7,7,white_cream,NYNNNNNNYYYY,7.5,15,0.8,2.5
Eucalyptus taurina,0.6,0.8,0.3,0.4,0.5,0.7,0.5,0.7,7,7,white_cream,NNNNNNNNNYYN,7.5,15,1.5,3
Eucalyptus tectifica,0.4,0.7,0.3,0.5,0.3,0.8,0.4,0.8,7,7,white_cream,NNNNYNYYYYYY,9,22.5,0.9,3
Eucalyptus tenella,0.4,0.6,0.2,0.3,0.3,0.5,0.5,0.8,7,15,white_cream,NYYNNNNNYNYN,5,15,0.5,2
Eucalyptus tenera,2.8,4,0.5,0.6,0.7,1,0.6,1.1,11,11,yellow_orange,NNNNNNNNNNYN,4,9,0.7,2.5
Eucalyptus tenuipes,0.3,0.4,0.2,0.3,0.3,0.7,0.4,0.7,11,20,white_cream,YNYNYNYNNNNN,5,13.5,0.8,2
Eucalyptus tenuiramis,0.5,0.8,0.3,0.4,0.5,1.2,0.6,1.1,9,15,white_cream,YYNNNNNNNNYY,5.5,13,1,2.5
Eucalyptus tenuis,0.8,1,0.6,0.9,0.8,1.2,0.8,1,3,3,white_cream,NNYNNNNNNNNN,6.2,11,0.7,1.5
Eucalyptus tephroclada,2.4,3.2,0.5,0.8,0.8,1.4,0.6,1,9,9,yellow_orange,NYNNNNNNNYYY,5,10,0.9,1.5
Eucalyptus tephrodes,0.8,1,0.4,0.5,0.5,0.9,0.5,0.8,7,7,NA,NNNNNNNNNNYY,7,19,1,4.7
Eucalyptus terebra,0.6,1,0.6,0.8,0.3,0.6,0.9,1.3,7,7,yellow_orange,NNNNNNNYNNYN,6,9.5,0.5,1.2
Eucalyptus tereticornis,0.7,2.1,0.3,0.7,0.2,0.6,0.4,1,7,11,white_cream,YYNYYYYYYYYY,8,22,1,3.5
Eucalyptus terrica,0.6,0.8,0.3,0.4,0.2,0.4,0.4,0.6,7,7,white_cream,NNNNNNNNNNNN,7.5,13,0.9,1.7
Eucalyptus tetrapleura,1.2,1.4,0.4,0.6,0.7,1,0.5,0.8,7,7,white_cream,NNNNNYYYNNNN,8,20,1.7,3.4
Eucalyptus tetraptera,3.4,6.5,2,4,3.5,5.5,2.5,5.5,1,1,red_brown,YYNNYNNNYYYN,9,20,2.8,7.5
Eucalyptus tetrodonta,0.8,1.3,0.6,1.2,1.2,2,0.9,1.4,3,3,white_cream,NNNYYYYYYYNN,9,24,1,3.5
Eucalyptus thamnoides,1.3,2.3,0.3,0.7,0.6,1.3,0.6,1,7,7,white_cream,NNYYYYYYYYYN,5,12.5,0.8,2.2
Eucalyptus tholiformis,0.5,0.8,0.2,0.5,0.5,0.7,0.4,0.7,7,7,white_cream,NNNNYYNYYYNN,7.5,14,1.2,3
Eucalyptus thozetiana,0.4,0.6,0.2,0.4,0.3,0.5,0.3,0.4,7,7,white_cream,NNYYYYYYYYYN,5,14,0.5,1.5
Eucalyptus tindaliae,0.3,0.7,0.3,0.4,0.3,0.7,0.6,1,9,15,white_cream,YYYNYYNYNNNN,6,14,1.2,3.7
Eucalyptus tintinnans,0.4,0.7,0.3,0.6,0.4,NA,0.5,0.6,7,7,white_cream,NNNNNNYYYNNN,5.5,11,3.5,6
Eucalyptus todtiana,0.8,1.1,0.6,0.7,1.1,2.1,1.4,2.5,7,11,white_cream,YYYYNNNNNNNN,8,12.5,1.5,2.2
Eucalyptus torquata,1.8,3,0.7,1.2,1,1.6,0.9,1.2,7,7,pink,NNNNYNNYYYYY,8,11.5,1.3,2
Eucalyptus tortilis,1,1.4,0.4,0.6,0.5,0.8,0.7,0.9,7,7,white_cream,NNNNNNNNNNNN,5.5,9.5,0.7,1.8
Eucalyptus transcontinentalis,1.3,2.2,0.4,0.6,0.6,1,0.5,0.9,7,7,yellow_orange,NNNNNNYYYYYY,5,15,0.8,2
Eucalyptus tricarpa,1,1.5,0.6,0.9,0.8,1.3,0.8,1.5,3,7,white_cream,YYYYNYYYYYYY,8,22,1,2.6
Eucalyptus triflora,0.7,0.8,0.4,0.5,0.6,1.1,0.7,1.2,3,7,white_cream,YNYNNNNNNNNY,7,16,0.8,3
Eucalyptus trivalva,0.7,1,0.4,0.6,0.5,1,0.5,0.8,9,11,white_cream,YYYYYYYYNNNN,5,14,0.8,2.8
Eucalyptus tumida,1.2,2.2,0.3,0.5,0.7,1.1,0.6,0.7,11,15,white_cream,YYNNNNNNYYYY,6,10,1.2,2.5
Eucalyptus ultima,0.5,1,0.25,0.3,0.5,0.6,0.4,0.5,9,15,white_cream,NNNYYNNNNNNN,5.5,10.5,0.5,1.2
Eucalyptus umbra,0.6,NA,0.3,0.4,0.3,0.7,0.6,1,7,15,white_cream,YYNNNNNYYYYY,6,18,1.5,4.5
Eucalyptus umbrawarrensis,0.5,0.8,0.25,0.3,0.3,0.5,0.3,0.4,7,7,white_cream,YYNNNNNNNYNN,6,12,0.6,2.2
Eucalyptus uncinata,0.7,1.5,0.3,0.5,0.5,0.9,0.4,0.8,9,13,white_cream,YYYYNNNNNNYN,6.5,11.5,1,2.5
Eucalyptus urna,1.5,2.4,0.4,0.9,0.7,1.2,0.5,1,7,13,white_cream,YYYYYNYNNYYY,6,14,0.8,2.2
Eucalyptus urnigera,1,1.3,0.5,0.7,0.9,1.5,0.6,1.1,3,3,white_cream,NNNYNNYNNNNN,3.5,9,1,2.8
Eucalyptus utilis,1.2,2.8,0.4,0.7,0.8,1.3,0.7,1,7,7,white_cream,YNNNNNNNNNNY,4.5,8,1,3
Eucalyptus valens,0.9,1.3,0.6,0.8,0.6,1.1,0.8,1.1,7,7,white_cream,NNNYNNNNNNNN,9,15.5,1.5,3.5
Eucalyptus varia,1.6,2.7,0.2,0.5,0.7,1.1,0.5,0.7,9,11,white_cream,YNNNNNNNYYNN,4.8,9,0.5,2
Eucalyptus vegrandis,0.7,1.3,0.3,0.5,0.6,0.8,0.5,0.8,7,7,white_cream,YYNNYYNNNNNN,3.7,7.5,0.4,2.5
Eucalyptus vernicosa,0.8,0.9,0.3,0.5,0.5,0.8,0.5,0.9,1,3,white_cream,YYYYYYNNYYYY,1,3.2,0.8,1.5
Eucalyptus verrucata,1,1.8,0.8,1.4,1.2,2,1.6,3.2,1,7,white_cream,NNNNNNYNYNNN,5.5,12,2.5,9
Eucalyptus vesiculosa,1.5,1.7,0.9,1,1.5,1.8,1.4,2,7,7,red_brown,NNNNNNNNYYNN,5,7,2.5,4
Eucalyptus vicina,0.6,1,0.3,0.6,0.4,0.6,0.4,0.8,7,7,white_cream,NNNNNYYYYYYN,5.5,16,0.7,2.7
Eucalyptus victoriana,0.9,NA,0.6,NA,0.5,0.6,1,1.4,7,11,white_cream,NNNNNNNNNNNN,7.2,15,2,5.5
Eucalyptus victrix,0.3,0.5,0.2,0.3,0.2,0.5,0.3,0.6,7,7,white_cream,YYYNNNYYNNYN,9,15,0.8,2.5
Eucalyptus viminalis,0.5,0.9,0.3,0.6,0.3,0.7,0.4,0.9,3,7,white_cream,YYYYYNNNNNYY,6,23.2,0.8,3
Eucalyptus virens,0.5,0.6,0.4,0.5,0.4,0.6,0.4,0.7,7,7,white_cream,NYNNNNNNNNNN,5.5,11,0.9,2
Eucalyptus virginea,0.6,0.8,0.6,0.8,0.4,0.6,0.7,1.2,7,7,white_cream,YNNNNNNNNNNN,7,11,1.3,2.5
Eucalyptus viridis,0.4,0.8,0.2,0.4,0.3,0.7,0.3,0.5,7,9,white_cream,YYYYYYNYYYYY,5,13,0.3,1.5
Eucalyptus vittata,0.7,1,0.4,0.6,0.5,0.7,0.5,0.8,7,9,white_cream,YNYNNNNNNNNN,7,15,0.7,2.3
Eucalyptus vokesensis,1.2,2,0.5,0.8,0.7,1,0.6,0.9,9,13,yellow_orange,NNNNNNYYYNNN,7,11,2,5.4
Eucalyptus volcanica,0.6,0.8,0.3,0.4,0.6,1,0.6,0.9,7,7,white_cream,NNNNNNNNNNNN,10,19,1.3,3
Eucalyptus wandoo,0.8,1.4,0.2,0.4,0.6,1,0.4,0.6,9,17,white_cream,YYYYYYNYNYNY,7.5,12.5,1,2.8
Eucalyptus websteriana,0.5,1,0.5,0.8,0.3,0.6,0.7,1.2,7,7,white_cream,NNNNNNYYYNNN,1.8,4.5,0.9,3
Eucalyptus whitei,0.5,0.7,0.3,0.4,0.4,0.6,0.4,0.6,7,7,white_cream,YYNNYYNNNNNN,6,12,1.2,2
Eucalyptus wilcoxii,0.6,NA,0.4,NA,0.4,0.6,0.5,0.8,3,3,white_cream,NNYNNNNNNNNN,5.5,15.5,0.7,2.2
Eucalyptus williamsiana,0.7,1,0.5,0.6,0.5,0.8,1,1.5,7,7,white_cream,YYNNYNNYNNNN,9,18,2,5
Eucalyptus willisii,0.3,0.5,0.3,NA,0.4,0.6,0.4,0.6,11,25,white_cream,YNNNNNNNYYYY,6,17,0.7,2.3
Eucalyptus woodwardii,1.5,1.9,0.8,1,1.2,1.4,1.1,1.5,7,9,yellow_orange,NNNNNNNNYYNN,9.5,18.5,2,5
Eucalyptus woollsiana,0.2,0.5,0.2,0.3,0.2,0.4,0.2,0.4,7,9,white_cream,NYYYYNYYYNNN,7.5,13.5,0.6,1.5
Eucalyptus wubinensis,0.7,0.9,0.4,0.5,0.5,0.8,0.5,0.7,7,7,white_cream,NNYNNNNNNNNN,7,10,0.8,1.4
Eucalyptus wyolensis,1.2,1.7,0.6,0.8,0.8,1.1,0.8,1,7,11,yellow_orange,NNNNNNYNNNNN,5,10,3,6
Eucalyptus x balanites,0.8,1.1,0.6,0.7,0.8,0.9,0.8,1,11,11,white_cream,NYNNNYYNNNNN,6.5,13.5,0.9,1.8
Eucalyptus x balanopelex,1.2,1.9,0.5,0.9,0.8,1,0.9,1.2,7,9,white_cream,NNNNNNNNNNNN,6.5,12,1.3,3
Eucalyptus x brachyphylla,0.6,0.7,0.3,0.35,0.5,1,0.4,0.6,7,7,white_cream,NNNNNNNYYNNN,2.5,5.5,1.5,3.5
Eucalyptus x impensa,4,5,2.5,3.5,2,3,4.8,5.5,1,1,pink,NNNNYYNNNNNN,10.5,14,4,8
Eucalyptus x lateritica,0.7,1,0.5,0.7,1,1.3,1.2,1.6,9,11,white_cream,NNNNNNNYNNNY,7,12.5,0.9,2
Eucalyptus x missilis,1.7,2.3,0.7,0.8,1,1.5,0.8,1.5,15,15,yellow_orange,NNNNNNNNNNNN,6,12.5,1,3.5
Eucalyptus x phylacis,0.7,0.9,0.5,0.6,0.5,0.6,0.8,0.9,11,11,white_cream,NNNNYNNNNYNN,7.5,12.5,1.3,2.5
Eucalyptus xanthonema,0.9,1.6,0.3,0.4,0.5,0.8,0.4,0.6,9,15,white_cream,NNNNNNNNNYYY,3.5,7.7,0.3,1.5
Eucalyptus xerothermica,0.7,0.8,0.4,0.5,0.6,1.1,0.6,0.9,3,7,white_cream,NNNNNNNNNNNN,7.8,18,1,2.5
Eucalyptus yalatensis,0.7,1.2,0.3,0.6,0.4,0.7,0.4,0.7,9,11,white_cream,YYNNNNNYYYYY,6,12,0.9,2.2
Eucalyptus yarraensis,0.35,0.6,0.3,0.4,0.3,0.5,0.4,0.5,7,7,white_cream,NNNNNNNNYYYY,6,13.5,1.7,4
Eucalyptus yilgarnensis,0.3,0.6,0.2,0.3,0.4,0.6,0.3,0.4,7,7,white_cream,NNYYYYYYYYYN,5,8,0.5,1.5
Eucalyptus youmanii,0.7,0.9,0.3,0.5,0.4,0.8,0.7,1.3,7,15,white_cream,NYYNNNNNNNNN,5.5,16,1.2,3.2
Eucalyptus youngiana,4.5,6,3,4.5,1.5,3,3.3,6,3,3,red_brown yellow_orange,NNNYNYYYYYNN,8.5,17,1.5,3.7
Eucalyptus yumbarrana,1.2,2,0.7,0.9,0.8,1.2,0.8,1,7,7,white_cream,NNNNNNYYNYNN,7,13,2,5
Eucalyptus zopherophloia,0.7,1,0.4,0.5,0.6,1,0.6,0.9,9,11,white_cream,YNNNNNNYNNNN,4.5,10.3,0.5,1.3
